"pcd","hotspots","easting","northing","latitude","longitude"
"KT14AD",1,517029,167593,-0.319248193131852,51.3953130860088
"KT25PU",1,517803,171551,-0.306814442044022,51.4307262737168
"KT25QX",1,517763,171606,-0.307371297311693,51.4312289002039
"KT89AU",1,515726,168509,-0.337670180168392,51.4038129440047
"SW130NR",1,521326,176150,-0.254586017372235,51.4713165618159
"SW130PW",1,521353,175825,-0.254308964161144,51.4683898940158
"SW139HE",1,521852,176434,-0.24691883440352,51.4737560339006
"SW139HF",1,521832,176442,-0.247203901489081,51.4738322350945
"SW139HR",1,522340,176626,-0.239829560358252,51.4753763791043
"SW139LN",1,521606,176426,-0.250461811496039,51.4737370113288
"SW139LW",2,521688,176402,-0.249289994204538,51.4735037026456
"SW139PY",2,521595,176505,-0.250592953318139,51.4744493706587
"SW139QL",1,521717,176851,-0.248718114597687,51.4775327678712
"SW139RU",1,522444,176796,-0.238273972241795,51.476881734004
"SW147JE",2,520442,175401,-0.267562212613035,51.4647736733727
"SW147JF",1,520486,175417,-0.266923672051065,51.464908115676
"SW147JG",1,520332,175352,-0.269161608334655,51.4643566655124
"SW147NX",2,520426,175350,-0.267809784297365,51.464318717026
"SW147QR",1,520351,176144,-0.26861881587099,51.4714706548886
"SW148AG",1,520537,175423,-0.266187814344139,51.4649511911339
"SW148AH",1,520641,175442,-0.26468493149879,51.4650998139834
"SW148QS",2,520773,175415,-0.26279485894272,51.4648290293157
"TW106AZ",1,518174,174630,-0.300453155421722,51.4583219004111
"TW106DF",1,518465,174996,-0.296144142047053,51.4615505810824
"TW106JJ",1,518520,173842,-0.295739141013207,51.4511674463901
"TW106LJ",1,518698,174235,-0.293046983950885,51.454662302602
"TW106NQ",1,518440,174289,-0.296740381886566,51.4552016086268
"TW106RN",1,518344,173947,-0.298235710999105,51.4521479161811
"TW106UA",1,517874,174578,-0.304786486026371,51.4579170301882
"TW106UB",1,517928,174521,-0.304028597690666,51.4573935024211
"TW107AD",1,518047,173162,-0.302769612161063,51.4451545903453
"TW107HT",1,517449,172227,-0.311680325256908,51.4368753426191
"TW107RX",1,516397,172304,-0.32678293356721,51.4377842989515
"TW110EA",1,515050,170426,-0.346762866870696,51.4211800456706
"TW110HB",1,515811,170987,-0.335640096921224,51.4260673822629
"TW118EP",1,515980,171082,-0.333179349065887,51.4268866958088
"TW118EW",1,515997,171094,-0.332931014073447,51.4269910732438
"TW118EY",1,515618,171288,-0.338316694574012,51.4288120735285
"TW118HG",1,516229,171141,-0.329580129368241,51.4273660123369
"TW118JD",2,516227,171115,-0.329617404862324,51.4271327405466
"TW118LA",1,515837,171210,-0.335193460784841,51.4280663485981
"TW118QY",2,515719,170964,-0.336970269718009,51.4258794364324
"TW118QZ",3,515617,170994,-0.338426921744444,51.4261698665343
"TW118RF",1,515581,170966,-0.338953614278706,51.4259255437794
"TW119AD",1,515954,171045,-0.333565250072389,51.4265594631921
"TW119AS",1,516174,170937,-0.330437699335252,51.4255437759284
"TW119NN",1,516631,171379,-0.323722237013983,51.4294225842168
"TW119NR",1,516723,171361,-0.322405406348565,51.4292418817849
"TW11LF",1,516612,174348,-0.323018269778444,51.4561109725531
"TW121AW",1,513153,171866,-0.373573776216371,51.4345041610106
"TW121NJ",1,514349,170981,-0.356661126004593,51.4263100218511
"TW121NW",2,514431,171143,-0.355429936964834,51.4277495228404
"TW121NY",1,514488,171111,-0.354620750774408,51.4274504104623
"TW122HQ",1,513195,169765,-0.373640337870604,51.4156120907115
"TW12LJ",1,516980,174141,-0.31779256302818,51.4541746846644
"TW136EZ",2,513010,172197,-0.375524552571738,51.4375076830541
"TW136HB",1,512888,172122,-0.37730288651066,51.4368578855033
"TW136HD",1,513029,172105,-0.375280657283152,51.4366770056694
"TW13DN",2,516759,173355,-0.321230896462818,51.4471559434338
"TW13DU",1,516421,173276,-0.326118438293381,51.4465154302076
"TW13JS",1,516293,173429,-0.327909256079645,51.4479168225441
"TW13JZ",1,516327,173388,-0.327433677462717,51.4475413503491
"TW13LE",1,516295,173291,-0.327925795074314,51.446676107788
"TW13LJ",1,516354,173370,-0.327051235449013,51.4473740303896
"TW13QS",2,516162,173603,-0.329736448045371,51.4495075450704
"TW13RJ",2,516231,173493,-0.328780040124669,51.4485047521756
"TW13RR",2,516255,173414,-0.328460757071738,51.4477898011772
