"pcd","hotspots","easting","northing","latitude","longitude"
"SE114DA",1,531289,177843,-0.110594582109637,51.4843090987672
"SE114EA",1,531407,178270,-0.108737393273741,51.4881189908946
"SE114LD",1,531198,178110,-0.111805262736062,51.486729618591
"SE114PP",1,531124,177545,-0.113080038092451,51.4816693319376
"SE114PP",1,531124,177545,-0.113080038092451,51.4816693319376
"SE114PZ",1,531285,177858,-0.110646583900507,51.4844448253765
"SE114RN",1,531747,178596,-0.10372170065447,51.4909695699358
"SE115DE",1,531125,177949,-0.112915771621858,51.4852996904915
"SE115JA",1,530714,177918,-0.118843065903157,51.4851161595829
"SE115QU",2,531078,178108,-0.113533303459543,51.4867394463409
"SE115QY",1,530671,178037,-0.119417996411696,51.4861954972304
"SE115RD",1,530921,178155,-0.115775777278549,51.4871981519119
"SE116AX",1,530736,178858,-0.118178605983804,51.4935585094017
"SE116BY",1,531262,178478,-0.110747337784554,51.4900218463266
"SE116SF",2,531267,178943,-0.110502585730255,51.4941994480651
"SE116SR",2,531263,178786,-0.110618509746327,51.4927894826209
"SE116ST",1,531265,178730,-0.110610525307895,51.4922857700793
"SE17AA",1,531244,179829,-0.110504443741401,51.5021668878963
"SE17AB",1,531162,179751,-0.111714137073597,51.5014849522899
"SE17BL",1,531133,179317,-0.112292864245223,51.4975914989229
"SE17DG",1,531077,179129,-0.113168899653863,51.4959149956103
"SE17GP",1,530726,179738,-0.117996842106659,51.5014690401657
"SE17GQ",1,530750,179825,-0.117619053433275,51.5022453286702
"SE17HR",1,531054,179481,-0.113369413899763,51.4990836025979
"SE17JS",1,530573,178806,-0.120544433846684,51.4931288373
"SE17LY",4,531050,179933,-0.113259250945958,51.5031464650399
"SE17ND",1,530951,180066,-0.114635453692289,51.5043646061904
"SE17NQ",1,530914,179945,-0.11521311193568,51.5032857927782
"SE17NY",1,530828,179775,-0.116514452135179,51.5017779662761
"SE17PB",4,530635,179886,-0.119252379431961,51.502820078716
"SE17PJ",1,530811,179861,-0.116727372184752,51.5025547448689
"SE17PY",1,530811,179861,-0.116727372184752,51.5025547448689
"SE17RW",2,531025,179551,-0.113760985172995,51.4997193802821
"SE17TJ",1,530465,178509,-0.122208905531373,51.4904847124736
"SE17XG",1,531165,179489,-0.111768260147264,51.4991297736454
"SE18LL",3,531417,179890,-0.107990715342832,51.5026749071025
"SE18LW",1,531414,179929,-0.108019396625763,51.5030260795892
"SE18SE",1,531050,179933,-0.113259250945958,51.5031464650399
"SE18SQ",1,531019,180038,-0.113666664165875,51.5040972365706
"SE18SW",2,531050,179933,-0.113259250945958,51.5031464650399
"SE18TJ",1,531224,180154,-0.110671625554754,51.5050921614616
"SE18TN",1,531333,180073,-0.109132168791903,51.5043389542626
"SE18XP",1,531244,179982,-0.110447569550784,51.5035418325598
"SE18XX",3,530795,180218,-0.116825496810352,51.505766659608
"SE18YP",1,530943,180170,-0.114712076230197,51.5053010629289
"SE191QH",1,533335,171086,-0.0836906923428536,51.4231091369911
"SE191TU",1,533510,170730,-0.0813092510261963,51.4198687725294
"SE191TX",1,533646,170736,-0.0793522807253682,51.4198906736741
"SE19PP",3,531248,180416,-0.110228612976896,51.5074410722334
"SE218BW",3,532816,172493,-0.0906237242427108,51.4358749925184
"SE218EZ",1,532528,172587,-0.0947294413833591,51.4367871129735
"SE240JT",1,531932,174371,-0.102634525616857,51.452958218944
"SE240NG",1,531894,174350,-0.103188919121802,51.4527783452818
"SE249QH",1,532019,174387,-0.101377200853025,51.4530817443661
"SE270HS",1,531894,171925,-0.104091646335342,51.4309857796541
"SE270JD",1,531865,171952,-0.104498524078681,51.4312351622845
"SE270QT",1,531848,171024,-0.105087967997888,51.422899499174
"SE279AF",2,531861,172399,-0.104389755426921,51.4352531215367
