"pcd","hotspots","easting","northing","latitude","longitude"
"NW105NU",1,523012,182720,-0.228035347541043,51.529998569752
"SW100LE",1,526428,177469,-0.180696791215687,51.4820544876443
"SW100LJ",1,526656,177623,-0.177359959159571,51.4833875151896
"SW100LR",2,526615,177541,-0.177979470307469,51.4826597573263
"SW100PL",1,526285,177138,-0.182873263524593,51.4791117166381
"SW109HX",1,526165,177932,-0.184316951301081,51.4862741248602
"SW109NH",2,526369,177713,-0.181458761261286,51.4842604776333
"SW109PJ",1,526356,177888,-0.181583318767276,51.4858360965982
"SW109PN",2,526392,177928,-0.181050814187045,51.4861875377883
"SW109PR",2,526451,177988,-0.18018006845672,51.486713577926
"SW109PZ",1,526571,178063,-0.178425844384527,51.4873607787561
"SW109QR",1,526474,178052,-0.179826086085788,51.4872836038953
"SW109TN",1,526374,177823,-0.181347460917629,51.4852479264955
"SW109TR",1,526369,177713,-0.181458761261286,51.4842604776333
"SW109UJ",1,525919,177459,-0.188026533781389,51.4820780545066
"SW1W8AF",1,527974,178621,-0.158027903565976,51.4920599723901
"SW1W8AP",1,528023,178634,-0.157317778983374,51.4921657188673
"SW1W8AX",1,528083,178708,-0.156427176673574,51.4928171674751
"SW1W8BB",1,528080,178657,-0.156488855763567,51.4923595187382
"SW1W8BU",1,528064,178394,-0.156814526072258,51.4899996055534
"SW1W8EL",1,527881,178630,-0.159363493516743,51.4921618758186
"SW1W8EZ",1,528119,178861,-0.155853416150548,51.494184001113
"SW1W8HQ",1,528165,178647,-0.155268800018248,51.4922504075274
"SW1X7RJ",3,527824,179677,-0.159805160509866,51.5015839624148
"SW1X7RQ",1,527890,179698,-0.158847206406463,51.5017577699321
"SW1X9AY",2,527955,178735,-0.158260141700267,51.493088766683
"SW1X9QR",1,527853,179497,-0.159452756391654,51.4999597819604
"SW31BB",1,527686,179337,-0.161915193438158,51.4985596014508
"SW31DB",1,527678,179525,-0.161962408562226,51.5002509317027
"SW31ED",1,527768,179654,-0.160619839495506,51.5013899150789
"SW31HQ",1,527291,179265,-0.167628480361136,51.4980015479853
"SW31HY",1,527401,179345,-0.166015825428697,51.4986957397653
"SW31LA",2,527349,179210,-0.166813219843091,51.4974942196858
"SW31NF",2,527432,179289,-0.165589682979727,51.4981854949669
"SW31NQ",1,527481,179246,-0.164899693021531,51.4977880226766
"SW31QF",1,527499,179376,-0.164593595344394,51.4989522574798
"SW31QU",1,527483,179342,-0.164836243645346,51.4986503097866
"SW31XE",1,527260,178180,-0.168465676949767,51.4882577603883
"SW32AG",1,527262,179247,-0.168052512958671,51.4978463075918
"SW32BB",1,527151,179053,-0.169720544999672,51.496127807727
"SW32RJ",1,527890,178802,-0.159171660870762,51.4937055770043
"SW33AE",1,527287,178787,-0.167858328351459,51.4937067242211
"SW33DH",2,527461,178598,-0.165421478366418,51.491969043942
"SW33DW",1,527320,178638,-0.167436933870752,51.4923602568733
"SW33TY",1,527306,178271,-0.167770718336351,51.4890652224062
"SW34AJ",1,527666,177971,-0.162696789401351,51.4862880800895
"SW34EE",1,527625,178270,-0.163178976041335,51.4889843964139
"SW34LU",1,527260,178180,-0.168465676949767,51.4882577603883
"SW34LY",1,527881,178550,-0.159392450725352,51.4914429291413
"SW34NB",1,527717,178405,-0.161805815132152,51.4901768691862
"SW34ND",2,527643,178353,-0.162889878180746,51.4897262464065
"SW34NX",2,527551,178265,-0.164246031840325,51.4889561429842
"SW34PA",1,527478,178228,-0.165310235640593,51.4886400748331
"SW34PL",2,527423,178191,-0.166115313250042,51.4883199449819
"SW34TR",1,527613,178379,-0.163312353184887,51.4899666694897
"SW34TZ",2,527724,178482,-0.161677210634992,51.4908672767858
"SW34UD",1,527821,178569,-0.160249338243245,51.4916272331906
"SW34UT",2,527465,178279,-0.165478976035824,51.4891013328511
"SW34UU",1,527502,178289,-0.164942740538715,51.4891828678708
"SW34XB",1,527579,178344,-0.163814440628183,51.4896597943665
"SW35EW",1,526915,177846,-0.173551942198875,51.4853335935504
"SW35EX",1,526718,177670,-0.176450705034787,51.4837960266454
"SW35TB",1,527509,177944,-0.164966457605117,51.4860808215898
"SW35UA",1,527254,178135,-0.168568252509831,51.4878546995005
"SW35UT",1,526823,177829,-0.174882310469373,51.4852014346599
"SW35UU",1,526766,177803,-0.175712104352821,51.4849805416949
"SW35UZ",1,526698,177714,-0.176722808111526,51.4841959280853
"SW35XP",3,527363,178201,-0.166975414746791,51.488423317787
"SW36NJ",1,527216,178191,-0.169095100979794,51.4883665070333
"SW36PU",1,527022,178482,-0.171783148246007,51.4910252639058
"SW36RH",1,527198,178720,-0.169163768696211,51.4931246143964
"SW50BE",1,526266,178457,-0.182675502706557,51.4909697566867
"SW50LJ",1,526204,178419,-0.183581632049391,51.4906420808976
"SW50TJ",1,525691,178722,-0.190858986777871,51.4934792972874
"SW59AA",1,525537,178547,-0.193138299010378,51.491940754487
"SW59AB",1,525523,178514,-0.193351573734738,51.491647288611
