"pcd","hotspots","easting","northing","latitude","longitude"
"EC1A4JQ",1,532071,181935,-0.0978083560392786,51.5208999752133
"EC1M4AA",1,531785,181836,-0.101965126855372,51.5200770517573
"EC1M4AN",1,531789,181962,-0.101860428110939,51.5212084176584
"EC1M5PA",1,531995,182180,-0.0988114255375767,51.5231194110514
"EC1M5QD",1,531712,181904,-0.102991267984599,51.5207051450112
"EC1M5QU",1,531602,181920,-0.104569824993235,51.5208745452396
"EC1M6BP",2,531749,181826,-0.102487426923422,51.5199955770414
"EC1M6BY",1,531538,181862,-0.105513366251312,51.5203682216165
"EC1M6BY",1,531538,181862,-0.105513366251312,51.5203682216165
"EC1M6DB",1,531629,181855,-0.104205152124621,51.5202841366775
"EC1M6DH",1,531685,181859,-0.103396998174273,51.5203070419705
"EC1M6DQ",3,531663,181853,-0.103716140442833,51.5202582467507
"EC1M6DR",2,531773,181837,-0.102137608160139,51.5200888352647
"EC1M6EG",1,531639,181826,-0.10407192888412,51.5200211996957
"EC1M6HA",1,531665,181742,-0.103728765628099,51.5192602789037
"EC1M6HR",1,531830,181831,-0.101318790011228,51.5200216282376
"EC1M7AD",1,532045,182202,-0.0980829128132394,51.5233054366067
"EC1M7AN",1,532025,182163,-0.098385624784463,51.52295963547
"EC1N2QD",1,531070,182310,-0.112088283750854,51.5245028850727
"EC1R0AG",1,531444,182253,-0.106721679655676,51.5239038122371
"EC1R0DY",1,531497,182177,-0.105986510944363,51.5232085111851
"EC1R0EB",1,531561,182190,-0.105059703404173,51.5233104450451
"EC1R0EG",1,531551,182183,-0.105206370864379,51.5232498666555
"EC1R3AU",1,531449,182146,-0.106689534756947,51.5229410924967
"EC1R3BL",1,531359,182185,-0.107971505025881,51.5233124868534
"EC1R3DJ",1,531276,182165,-0.109174619302144,51.5231520367155
"EC1R4QA",1,531208,182391,-0.110070110274831,51.5251987797042
"EC1R4QE",1,531291,182467,-0.108846093253549,51.5258624837426
"EC1R4RL",1,531198,182492,-0.110176592242621,51.5261087402876
"EC1R4SH",1,531132,182284,-0.111204777371404,51.5242548560222
"EC1V0DR",1,531870,182188,-0.100609123978459,51.5232204755831
"EC1V1NQ",1,531534,183181,-0.10507892867018,51.5322223504546
"EC1V2NL",1,532678,182643,-0.0887982953947805,51.5271202361258
"EC1V2NR",1,532710,182551,-0.0883719102142458,51.5262859736015
"EC1V2PY",1,531726,183020,-0.102372680250725,51.5307308063155
"EC1V3RJ",1,532219,182696,-0.0953911086896063,51.5277040746721
"EC1V4DE",1,531741,182309,-0.102422238189337,51.5243379184677
"EC1V4JB",1,531721,182139,-0.102773855871559,51.522814875123
"EC1V4JL",1,531620,182149,-0.104225074519571,51.5229282645694
"EC1V4JZ",1,531691,182335,-0.103132824610477,51.5245832177444
"EC1V4NJ",1,531479,183083,-0.10590794821178,51.5313544722918
"EC1V7DA",2,532017,182231,-0.0984754120848623,51.5235725839036
"EC1V7DG",1,531520,183067,-0.105323183503112,51.5312011483573
"EC1V8BP",1,532311,182717,-0.0940577912707114,51.5278712612503
"EC1V8DS",1,532126,182670,-0.0967406974002529,51.5274921743068
"EC1V9BP",1,532567,182407,-0.0904861699213048,51.5250254841132
"EC1V9JS",1,532563,182477,-0.0905174774388891,51.5256554721335
"EC1V9NR",2,532658,182499,-0.0891406086184826,51.5258308861559
"EC1V9NR",1,532658,182499,-0.0891406086184826,51.5258308861559
"EC1V9QN",1,532563,182477,-0.0905174774388891,51.5256554721335
"EC1Y1AE",2,532826,182119,-0.086863490964473,51.5223765977284
"EC1Y1BD",1,532784,182382,-0.0873694782162611,51.5247498913124
"EC1Y1HQ",1,532798,182341,-0.0871832359500727,51.5243781596389
"EC1Y2AA",1,532786,182086,-0.0874521231158449,51.5220894428254
"EC1Y2AN",2,532743,182295,-0.0879928717767374,51.5239777026108
"EC1Y2BP",1,532740,182430,-0.0879852697286105,51.5251915732155
"EC1Y4AB",1,532671,181907,-0.089176044072079,51.5205078722991
"EC1Y4XX",1,532465,181990,-0.0921122233985127,51.5213020508577
"EC1Y8LP",1,532631,182138,-0.0896653578251834,51.5225931227462
"EC1Y8ND",1,532585,182235,-0.0902915316551732,51.5234755968179
"EC1Y8NQ",1,532562,182294,-0.090600680362496,51.5240111901655
"EC1Y8NX",1,532446,182050,-0.0923633838100249,51.5218456890023
"EC2A1AE",2,532780,181932,-0.0875965318986699,51.5207069436485
"EC2A1AN",1,532787,182049,-0.0874516490249647,51.5217567105116
"EC2A1AT",1,532829,181856,-0.0869193256499416,51.5200124656725
"EC2A1NS",1,532773,181895,-0.0877112928879615,51.5203760900738
"EC2A1RS",1,532766,181832,-0.0878358388266846,51.5198115893767
"EC2A1SA",1,532820,181803,-0.0870689232087602,51.5195382999084
"EC2M2TE",1,532887,181781,-0.0861121252744396,51.5193248550571
"EC2M2UP",1,532820,181803,-0.0870689232087602,51.5195382999084
"EC2P2EJ",1,531070,182310,-0.112088283750854,51.5245028850727
"EC2V6AJ",1,531070,182310,-0.112088283750854,51.5245028850727
"EC2Y9AN",1,532668,181848,-0.08924145010394,51.5199783769817
"EC3P3HY",1,531070,182310,-0.112088283750854,51.5245028850727
"EC4P4DR",1,531070,182310,-0.112088283750854,51.5245028850727
"N10EB",1,531218,183637,-0.109462221184896,51.5363936615038
"N10JH",1,531016,183608,-0.112383784044774,51.5361799258995
"N10NP",2,531640,183741,-0.103342456435002,51.5372300981546
"N10NY",2,531597,183602,-0.1040139966395,51.5359909938598
"N10PB",1,531612,183522,-0.103827730451582,51.5352685817437
"N10PD",1,531579,183469,-0.104323028761643,51.5347999832666
"N10PN",4,531523,183469,-0.105129946515374,51.5348130202218
"N10PQ",6,531471,183368,-0.105916905631524,51.5339174850953
"N10PS",5,531422,183427,-0.10660094425858,51.5344590863922
"N10PU",1,531465,183357,-0.106007462700732,51.5338200295362
"N10QH",1,531438,183553,-0.106323403911526,51.535587663446
"N10RR",1,531394,183306,-0.107049511707019,51.5333782311213
"N10RW",1,531386,183349,-0.107148752296221,51.5337665107483
"N10SQ",1,530732,183599,-0.11647949769773,51.5361648258116
"N10UY",1,531539,183624,-0.104841542443766,51.5362022014306
"N11BA",1,530723,183946,-0.116480450170689,51.5392852387976
"N11DF",1,530944,184361,-0.113141423819278,51.5429634685398
"N11ED",1,530686,183913,-0.117025888720295,51.5389972424441
"N11EG",1,530660,184097,-0.117332327672081,51.5406567800799
"N11HW",1,531208,183994,-0.109473379828652,51.5396041668173
"N11NP",1,531297,184589,-0.107969049162326,51.5449304543803
"N11QN",2,531671,183826,-0.102863983316964,51.5379867251517
"N11RA",1,531665,184076,-0.102857019595048,51.5402347411782
"N11RG",1,531641,184201,-0.103156173709528,51.5413636426187
"N11RL",2,531593,184447,-0.103756018599088,51.5435854971693
"N11RU",3,531598,184629,-0.103615958931263,51.5452198693838
"N11RY",1,531606,184687,-0.103478985862976,51.5457392204873
"N11SE",1,531560,184679,-0.104144958078856,51.5456780444543
"N12LY",1,531946,184784,-0.0985423421065131,51.5465315857941
"N12NA",1,531738,184724,-0.10156267272845,51.5460409490722
"N12PG",1,532355,184979,-0.0925741950067845,51.5481882444647
"N12SA",1,531778,183705,-0.101367341531477,51.5368744172148
"N12SD",1,531736,183710,-0.101970686992413,51.5369291433234
"N12SN",2,532023,184030,-0.0977151518315226,51.5397378196511
"N12XD",1,531690,184470,-0.102349455531362,51.5437695813108
"N12XH",2,531700,183663,-0.102507009439946,51.5365151712827
"N13AP",1,532214,184156,-0.0949154173692808,51.5408254445046
"N13QP",1,532812,184780,-0.086062354548588,51.5462926794195
"N14AL",1,533360,184949,-0.0781002172311071,51.5476822511951
"N14NA",1,532918,184985,-0.0844572334915141,51.5481099498404
"N14QU",1,532693,185052,-0.0876749787851316,51.5487649426639
"N14QX",1,532716,185145,-0.0873084159786872,51.5495952713546
"N14RF",1,532860,185267,-0.0851868002607835,51.5506577506805
"N169DB",1,532464,185898,-0.0906573597672427,51.5564211816164
"N18DU",2,531712,183595,-0.102359508706954,51.5359012940344
"N18DY",2,531662,183572,-0.103088580805468,51.5357062576936
"N18EH",1,531643,183552,-0.103369832901382,51.535530954923
"N18EQ",2,531505,183277,-0.105460955004195,51.5330918029749
"N18HD",1,532014,183303,-0.098117207923132,51.5332067737859
"N18LR",1,531898,183807,-0.0995999774948883,51.5377630364569
"N18PZ",1,531984,183254,-0.0985678178114343,51.5327734448251
"N18XB",1,531497,183263,-0.105581447988284,51.5329678536521
"N18XL",1,531505,183277,-0.105460955004195,51.5330918029749
"N193JH",1,529510,186790,-0.132914642825404,51.565122507435
"N193NP",1,529916,186566,-0.127143235737972,51.5630162214043
"N194AL",1,529550,186802,-0.132333461650043,51.5652211675628
"N194DJ",1,529803,186616,-0.128754063667371,51.5634915441508
"N194JU",1,530179,186542,-0.123360097213553,51.5627399567184
"N194NU",1,530155,186913,-0.12356888253379,51.5660794968109
"N195DR",1,529221,186823,-0.137069637448965,51.5654852985955
"N195LP",1,529297,186868,-0.13595723897645,51.5658722920671
"N195PZ",1,529247,186303,-0.136885756244965,51.5608063093077
"N195QB",1,530258,186898,-0.12208925139912,51.5659209389699
"N195QQ",1,529161,186002,-0.138236154528462,51.5581210180628
"N195QT",2,529390,186758,-0.134656700523168,51.564862455997
"N195RD",1,529324,186659,-0.135644745651347,51.5639879072661
"N195RQ",1,529359,186804,-0.135086775039994,51.5652829444809
"N195RQ",2,529359,186804,-0.135086775039994,51.5652829444809
"N195SE",1,529484,186765,-0.133298739833643,51.5649038074779
"N19AA",1,530341,183029,-0.122324533413455,51.5311328034923
"N19AB",1,530344,183208,-0.122215115265897,51.5327407098387
"N19DX",2,530417,183067,-0.121215448768645,51.5314567604711
"N19ER",2,531277,183304,-0.108736089219631,51.5333874500091
"N19EW",1,531348,183312,-0.107710081289023,51.5334428438753
"N19HF",1,531283,183174,-0.108698058643875,51.5322178097227
"N19LE",1,530456,183033,-0.120666107649325,51.5311422156478
"N19LH",1,531425,183272,-0.106615516898232,51.5330654813849
"N19LJ",1,531431,183230,-0.106544726506922,51.5326866529734
"N19LQ",3,531430,183190,-0.106574050739663,51.5323274255275
"N19NR",2,530396,183011,-0.121538739596913,51.5309583577251
"N19PT",1,531089,183140,-0.111505948873026,51.5319573020548
"N19PW",1,531127,183205,-0.11093424808568,51.532532610285
"N19PX",1,531070,183245,-0.111740662471719,51.5329052943823
"N19RG",2,530684,183454,-0.11722493845636,51.5348728793652
"N19RT",1,530471,183376,-0.120323015279835,51.5342211470151
"N19SD",1,530464,183287,-0.120456825348031,51.5334229584271
"N19XD",1,531354,183157,-0.107681393713347,51.5320485408662
"N42DD",1,531429,186778,-0.105249304899131,51.5645711214514
"N42DH",1,531385,186784,-0.105881485213772,51.5646352830922
"N42HZ",1,531426,186712,-0.105317216083007,51.5639787145785
"N43EF",1,531157,187089,-0.109055234243263,51.5674291763146
"N43JU",1,531214,186842,-0.108325449993321,51.5651962731311
"N43PX",3,530937,187250,-0.112167615583213,51.5689270783532
"N43PZ",1,530785,187372,-0.114314105586177,51.5700586724876
"N44AP",1,530589,187467,-0.117105245665651,51.5709577761142
"N44AU",1,530650,187461,-0.116227807769018,51.5708897386512
"N51EN",1,531886,186187,-0.0988815173778709,51.5591535605704
"N51FE",1,531660,186040,-0.102194732881185,51.5578853022978
"N51JJ",1,531739,184757,-0.101535915868609,51.5463372688011
"N51LP",1,531432,186108,-0.105456308936142,51.5585495019473
"N51QJ",1,531931,185595,-0.0984546578051529,51.5538230857841
"N51RD",1,531578,184793,-0.103842938896203,51.5466983088549
"N51RE",1,531616,184770,-0.103303840875059,51.5464827668867
"N51TH",1,531924,185725,-0.0985068445384774,51.5549929564134
"N52LL",1,531926,186228,-0.0982894719230252,51.5595126582771
"N52NL",1,532337,185066,-0.0928009398666556,51.5489742794154
"N70NS",1,530220,185656,-0.123096784133781,51.5547684220397
"N70RN",1,530546,185865,-0.118319761665607,51.5565713330783
"N76AA",2,530620,186124,-0.117156837883375,51.5588817270694
"N76AG",1,530549,186062,-0.11820344101756,51.5583409843728
"N76AH",1,530505,186019,-0.118853725086683,51.5579647358859
"N76AJ",1,530477,186063,-0.119241079889981,51.5583666143091
"N76BH",1,530624,186184,-0.117076899676675,51.5594199924749
"N76DN",1,530935,185951,-0.112679868215892,51.5572540999827
"N76DP",1,530894,186029,-0.113241932126437,51.5579645530036
"N76HL",1,530431,185990,-0.119931307207617,51.5577212260991
"N76HT",1,530451,186055,-0.119618882323126,51.5583007299509
"N76HY",1,530419,186089,-0.120067620205542,51.5586136646166
"N76JD",1,530337,186163,-0.121222400098335,51.5592976038045
"N76JP",1,530287,186220,-0.12192215361467,51.5598213769846
"N76LE",1,530137,186303,-0.124054055228927,51.5606018560695
"N76NE",1,530899,185575,-0.11333868508393,51.5538835232853
"N76NJ",3,530803,185681,-0.114683171521748,51.5548583384134
"N76PA",1,530719,185790,-0.115853609429102,51.5558573201918
"N76PN",2,530640,185871,-0.116962409472319,51.5566035113427
"N76PR",1,530604,185913,-0.117465809240235,51.5569892733018
"N76PZ",1,530596,185929,-0.117575203343981,51.5571349080267
"N76QA",4,530535,185974,-0.118437914842509,51.5575534073249
"N76QD",1,530557,185968,-0.11812297655982,51.5574944015665
"N77NN",1,531057,185830,-0.110966122878367,51.5561384305471
"N77NY",1,530985,186159,-0.111881635115493,51.5591116925377
"N78DB",1,531120,185351,-0.110236327028534,51.5518192777078
"N78HG",1,531059,185307,-0.111132000921114,51.5514380316462
"N78HS",1,530930,185457,-0.11293569590484,51.5528159293163
"N78JP",1,531508,184798,-0.104849981868894,51.5467595433121
"N78LT",3,531364,184948,-0.106869505207309,51.5481410237329
"N78LX",1,531235,185104,-0.108670705609384,51.5495729039544
"N78PR",1,531249,184702,-0.108618737890005,51.5459570828186
"N79BA",1,530572,184816,-0.118333981215129,51.5471384507236
"N79BA",1,530572,184816,-0.118333981215129,51.5471384507236
"N79BD",1,530568,184899,-0.118360860755075,51.5478852580805
"N79DS",1,530855,185540,-0.113985970378252,51.5535791933078
"WC1X9DT",1,530814,182865,-0.115570320823216,51.5295497233985
"WC1X9QN",1,530918,182597,-0.114171444765736,51.52711724824
