"pcd","hotspots","easting","northing","latitude","longitude"
"NW104UY",1,521830,182940,-0.24499054759823,51.5322317731646
"NW106AH",1,522448,182916,-0.2360938123039,51.5318825219483
"SW61AA",3,525325,177222,-0.196660205227207,51.4800799282011
"SW61AH",1,525300,177266,-0.197004429329666,51.480480891031
"SW61BE",2,525240,177302,-0.197855248543684,51.480817699712
"SW61BW",7,525479,177278,-0.194423849533231,51.4805490934062
"SW61BY",4,525442,177283,-0.194954611716908,51.4806022273621
"SW61ER",1,525300,177266,-0.197004429329666,51.480480891031
"SW61HD",1,525575,177230,-0.19305918437444,51.4800964326009
"SW61LS",1,525000,177700,-0.201168829180667,51.4844475857559
"SW61LX",1,525127,177243,-0.199502538882559,51.48031244825
"SW61LY",1,525123,177337,-0.199526841016156,51.4811581150197
"SW61NB",1,525097,177401,-0.199878414134195,51.4817390316667
"SW61NF",1,525058,177462,-0.200418172529778,51.4822958578792
"SW61NG",1,525039,177514,-0.200673254657086,51.4827673813044
"SW61NL",1,524893,177780,-0.20268073554697,51.4851901667335
"SW61NN",1,524948,177750,-0.201899649623589,51.4849084181217
"SW61NQ",1,525021,177546,-0.200921021936805,51.4830589422761
"SW61NR",1,525044,177560,-0.200585014080147,51.4831796813963
"SW61NS",1,525076,177518,-0.200139275575687,51.4827951564047
"SW61NY",1,525124,177432,-0.199478822860635,51.4820116637161
"SW61TU",1,525284,178006,-0.196972425006958,51.4871348369808
"SW62DF",1,525508,177143,-0.194054381533858,51.4793294172512
"SW62DJ",1,525608,177141,-0.192615844663053,51.4792892680013
"SW62DU",1,525798,177012,-0.189927178401956,51.4780877626515
"SW62ES",1,525804,176952,-0.189862173776711,51.4775472091699
"SW62RR",1,525975,175864,-0.187788679397013,51.4677313310964
"SW62SU",1,526427,176488,-0.181061946011351,51.4732385000749
"SW62TD",1,525686,176551,-0.19170294126466,51.4739696184612
"SW62TE",1,525694,176491,-0.19160913903669,51.4734286215646
"SW62TZ",1,525805,175798,-0.190258244111086,51.4671759694664
"SW62UA",1,525743,175965,-0.191090984259195,51.4686905696679
"SW62UL",2,525678,176355,-0.191887714551032,51.4722099370476
