"pcd","hotspots","easting","northing","latitude","longitude"
"CR04QE",1,530648,164821,-0.12461811134061,51.3674319951074
"CR04QR",1,530143,164782,-0.131882592924699,51.3671973469437
"CR04RW",2,530733,163657,-0.123825309548901,51.3569517582627
"CR04TB",1,530205,165449,-0.130748365830831,51.3731773956919
"CR04TD",1,529599,166703,-0.138992725758675,51.3845854853628
"CR04TG",1,530141,165321,-0.131714149203189,51.372041734148
"CR04XS",1,530360,165911,-0.12835344382247,51.3772937918324
"CR04XY",1,530203,166365,-0.130441717711423,51.3814098211797
"CR52QJ",1,528599,160263,-0.155681002499999,51.3269363289701
"KT48AJ",1,522392,166228,-0.242670178786877,51.3819148545227
"KT48DR",1,522302,165983,-0.24404705533011,51.3797323158579
"KT48DS",1,522304,165960,-0.244026242725104,51.3795251746399
"KT48DT",2,522348,165919,-0.243408441029213,51.3791472182934
"KT48DX",1,522340,165813,-0.243559798867422,51.3781962738881
"KT48DY",2,522434,165863,-0.242192639168131,51.3786253997987
"KT48EG",1,522654,165696,-0.23909076379566,51.3770770602691
"KT48HL",1,522372,165961,-0.243049313519612,51.3795195219616
"KT48HT",1,522436,165915,-0.242146013237746,51.3790923145103
"KT48HZ",1,522711,165689,-0.238274616733102,51.3770018431118
"KT48ST",1,522814,165612,-0.236822053122755,51.3762875633619
"SM11DF",2,525980,163884,-0.191969456411402,51.3600646880581
"SM11DG",1,525982,163869,-0.191946054656381,51.3599294369472
"SM11DJ",1,525957,163951,-0.192275916323333,51.3606719258358
"SM11DR",1,525942,163993,-0.19247638567486,51.3610527108856
"SM11DU",2,525914,164138,-0.192827044644427,51.3623620563346
"SM11DZ",2,525892,164064,-0.193169044191046,51.3617018749942
"SM11EX",2,525947,164149,-0.192349411631495,51.3624536064438
"SM11EZ",1,525972,164079,-0.192015289910173,51.361818964208
"SM11HF",3,525995,163976,-0.191721568343514,51.3608881867309
"SM11HN",1,526024,163894,-0.19133429390021,51.3601448098585
"SM11JF",3,525877,164227,-0.193326733729291,51.3631701100827
