"pcd","hotspots","easting","northing","latitude","longitude"
"IG110SW",1,545563,182495,0.0967540463786675,51.522619080961
"IG117BA",1,543774,183753,0.0714986752140638,51.5343807318511
"IG117BS",3,543718,183966,0.0707787207247653,51.5363088963001
"IG117DR",1,544442,183568,0.0810470659496268,51.5325480570816
"IG117LS",1,544173,183930,0.0773196960854914,51.5358695016792
"IG117NB",1,544344,183974,0.0798014835009767,51.5362212043205
"IG117ND",1,544371,184162,0.0802675317493755,51.5379035755723
"IG117NF",1,544343,184125,0.0798489328133485,51.5375782670809
"IG117RR",1,545248,183895,0.0927937381114044,51.5352796919554
"IG117RX",1,544341,184072,0.0797984040096649,51.5371025476925
"IG118DG",3,544438,184163,0.0812333179069363,51.5378954365144
"IG118DH",1,544438,184163,0.0812333179069363,51.5378954365144
"IG118DJ",1,544505,184230,0.0822261728599091,51.5384803300736
"IG118DQ",1,544438,184163,0.0812333179069363,51.5378954365144
"IG118EB",1,544386,184293,0.0805373461095233,51.5390768392931
"IG118EJ",2,544276,184138,0.0788888855021188,51.537712191427
"IG118ER",1,544198,184031,0.07772122765944,51.5367706567509
"IG118EU",1,544184,183972,0.0774953695538238,51.5362440855151
"IG118JE",1,544102,184170,0.0763948806504773,51.538044133323
"IG118LA",1,543951,184519,0.0743617690831735,51.5412185681572
"IG118TU",1,544405,184343,0.0808316108183663,51.5395212566504
"IG118UF",1,545148,185137,0.0918647144089868,51.5464652623618
"IG118UN",1,545240,185012,0.0931389928512343,51.5453184386867
"IG119PG",1,546140,183713,0.105569815631316,51.533414360328
"RM107LU",1,549238,186398,0.151339272012479,51.5567295393303
"RM107SJ",1,548988,185915,0.14753135090957,51.5524557822635
"RM108QS",1,549065,184736,0.14814203779084,51.5418420687284
"RM108RE",2,549110,184627,0.148744313330164,51.5408508194699
"RM108TD",1,549729,184661,0.157677832681104,51.5409925863604
"RM109HP",1,549270,184156,0.150850179309012,51.5365765998968
"RM109LU",1,549761,183233,0.157532047944012,51.5281534821297
"RM109ND",1,550010,183160,0.161087776066162,51.5274315400842
"RM109QR",1,549143,184571,0.149196098221674,51.5403389441872
"RM109RR",1,549667,184556,0.156739872827091,51.5400655881301
"RM65NR",1,548036,189488,0.135314389330154,51.5848099695363
"RM65QT",1,548521,190180,0.142602029566433,51.5909001150271
"RM66LS",1,548486,188067,0.14120442136469,51.5719239162689
"RM66NU",1,548190,188034,0.136922541689279,51.5717052188209
"RM66PD",1,547901,188034,0.132755509374614,51.5717810389276
"RM66PT",1,547900,187900,0.132684732522427,51.5705772948666
"RM66QT",1,548492,188130,0.141317538487971,51.572488396748
"RM66QU",1,548406,189027,0.140456176841266,51.5805706273344
"RM81AB",1,548922,186898,0.146996067390702,51.5613055060721
"RM81AT",2,548767,187466,0.145001871368531,51.5664498895702
"RM81DJ",1,548490,186901,0.140769868233432,51.5614462617426
"RM81SP",1,547817,187463,0.131304336266189,51.5666725390119
"RM81XU",1,547085,187031,0.120570243743088,51.5629821696372
"RM81YT",2,547261,186930,0.123065210481719,51.5620287778519
"RM83HT",1,548033,186569,0.134042299566373,51.5585832254399
"RM94ND",1,546693,184612,0.113911114240511,51.5413488417702
"RM94SH",1,547610,184368,0.127022192763761,51.5389175877277
"RM95AN",1,549036,184599,0.147666208046352,51.5406187646919
"RM95AQ",1,549016,184804,0.147464752998987,51.5424659820662
"RM96SJ",1,548914,183481,0.145435862393245,51.5306055960658
"RM96SR",2,549021,183539,0.147001792447596,51.5310985264716
"RM96UQ",3,548238,183679,0.135780835957162,51.5325623851011
"RM96XW",1,547875,183679,0.130551295942024,51.5326574937894
"RM96YS",1,549224,183513,0.14991516580502,51.5308113466731
