"pcd","hotspots","easting","northing","latitude","longitude"
"CR00JD",1,538421,162088,-0.0140907355257254,51.3410328953235
"CR00LG",1,537880,162432,-0.0217197256279353,51.3442555572075
"CR00QP",1,537863,163112,-0.0217004912934051,51.3503703859244
"CR01BE",2,532449,164807,-0.0987670009447456,51.366889404067
"CR01BF",2,532454,164669,-0.0987465846865317,51.365648072243
"CR01DL",1,532420,164829,-0.0991751506426823,51.3670938680084
"CR01DP",1,532417,164678,-0.0992744096544168,51.3657375723345
"CR01GT",1,532303,165471,-0.10061612086194,51.3728905855506
"CR01JA",1,532528,165578,-0.0973456364096931,51.3737997401646
"CR01JG",1,532611,165133,-0.0963197600451599,51.3697812999934
"CR01LA",1,532440,165613,-0.0985961606224142,51.3741347889523
"CR01LB",1,532499,165635,-0.0977408023614669,51.3743187438611
"CR01LD",1,532681,165674,-0.0951129647953686,51.374626762843
"CR01LF",1,532835,165717,-0.0928856488131137,51.3749772146644
"CR01LG",2,532599,165661,-0.0962952355136057,51.3745290744194
"CR01LH",2,532570,165701,-0.0966967319534381,51.3748953077747
"CR01NA",1,532306,165280,-0.10064408334577,51.3711734242244
"CR01NE",1,532355,165092,-0.100010492540636,51.3694725132026
"CR01NF",1,532365,165028,-0.0998907298643835,51.3688950346626
"CR01NX",1,532373,165441,-0.0996222022298463,51.3726046846748
"CR01PA",1,532382,165557,-0.099449807487244,51.3736450467045
"CR01PB",1,532444,165559,-0.0985588328260253,51.3736485747907
"CR01PD",1,532517,165591,-0.0974987376175197,51.3739191322538
"CR01QA",1,532358,165523,-0.0998070642873205,51.3733450884683
"CR01QR",1,532427,165098,-0.098974537531637,51.3695096635431
"CR01RG",1,532235,165465,-0.101594718033611,51.3728524908256
"CR01RH",2,532157,165502,-0.102700921399565,51.3732031425479
"CR01RJ",1,532270,165478,-0.10108734288275,51.3729611736638
"CR01RY",1,532285,165539,-0.100849282280276,51.3735058721957
"CR01SG",1,532108,165316,-0.103473560957572,51.3715430026346
"CR01SS",1,532216,165124,-0.101994260794846,51.369792438
"CR01SX",1,532285,165110,-0.10100880813486,51.3696505695785
"CR01TB",1,532191,165595,-0.102178172475999,51.3740310005737
"CR01TG",2,532237,165727,-0.101468596981066,51.3752065457742
"CR01TJ",1,532222,165786,-0.101662048974908,51.3757402522764
"CR01TL",3,532186,165894,-0.10213884026589,51.3767191928721
"CR01TN",1,532158,165966,-0.102514151133015,51.3773727491863
"CR01TQ",1,532159,165248,-0.10276656832555,51.3709200485738
"CR01TS",1,532210,165618,-0.101896808191685,51.3742332754002
"CR01TY",5,532189,165754,-0.102147797070646,51.3754603544111
"CR01UB",1,532340,165604,-0.100035380155018,51.3740772038327
"CR01UD",1,532229,165922,-0.101510969632535,51.3769608168069
"CR01UE",1,532176,166025,-0.102233746743388,51.3778987789198
"CR01UG",2,532291,165780,-0.100673494483462,51.375670273577
"CR01UJ",2,532252,165863,-0.101202639120349,51.3764252483528
"CR01UP",3,532327,165893,-0.100114519414086,51.3766773899812
"CR01US",2,532261,165876,-0.101068569582105,51.3765399809868
"CR01UT",2,532342,165765,-0.0999467571777989,51.3755235983232
"CR01XX",1,532140,165934,-0.102784516763771,51.3770893601302
"CR01YB",3,532304,165430,-0.100617011775455,51.3725218974052
"CR02BW",1,532781,166444,-0.0933895733838073,51.3815231436581
"CR02BX",2,532540,165957,-0.0970320966245902,51.3772028985207
"CR02JG",2,532466,166825,-0.0977713214011031,51.3850205997253
"CR02QD",1,532359,167576,-0.0990283767713302,51.391794539416
"CR02RE",1,532077,166113,-0.103622694116559,51.3787126300284
"CR02SQ",1,531704,167051,-0.108631556545919,51.3872287721836
"CR02TA",1,532112,166139,-0.103110428540208,51.3789381482796
"CR02TE",1,531920,166455,-0.10575035690048,51.3818225634612
"CR03JP",1,530800,166723,-0.121736377271353,51.3844899762703
"CR03QB",1,531174,166979,-0.116270482454995,51.3867043592559
"CR04NL",1,531189,164741,-0.116880594131399,51.3665884545597
"CR04NX",1,531101,164976,-0.11805738223806,51.3687206574464
"CR04RJ",1,531198,163994,-0.117026745406699,51.3598732266928
"CR04RQ",3,531311,163661,-0.115527522217128,51.3568545327346
"CR04RS",1,531235,163503,-0.116676618848059,51.3554521585987
"CR04RY",1,531129,164669,-0.117768515332366,51.365955247305
"CR04XJ",1,531028,165348,-0.118968450312579,51.3720805845764
"CR04XU",2,531135,165603,-0.117338114186422,51.3743475415123
