"pcd","hotspots","easting","northing","latitude","longitude"
"DA158EA",1,544977,173840,0.0847632327182005,51.444999979205
"SE100AX",1,539032,179921,0.00166522086075054,51.5011332886309
"SE100BB",1,539130,179991,0.00310377882291706,51.5017382136074
"SE100DX",4,539299,179977,0.0055314962373258,51.5015708224082
"SE100DY",1,539130,179991,0.00310377882291706,51.5017382136074
"SE100DY",2,539130,179991,0.00310377882291706,51.5017382136074
"SE100EN",1,539299,179977,0.0055314962373258,51.5015708224082
"SE100ES",1,539346,179911,0.00618214646172588,51.5009661751905
"SE100PH",1,539182,179825,0.00378703503241984,51.5002337534293
"SE100PH",1,539182,179825,0.00378703503241984,51.5002337534293
"SE100QJ",3,539835,178730,0.0127549936577402,51.490233150828
"SE100UZ",1,540202,178646,0.0180043124625751,51.4893875385737
"SE108DA",1,537742,176763,-0.0181389600515078,51.4730707471301
"SE108ER",1,538449,177410,-0.00771262830970171,51.4787123247056
"SE108JL",3,537570,176982,-0.0205286869233137,51.4750805199435
"SE108NA",1,538299,177572,-0.00980786771242886,51.4802047269917
"SE108NB",1,538192,177428,-0.0114040183086643,51.4789368595421
"SE108NF",1,538258,177490,-0.0104299770304502,51.4794778830918
"SE108RT",1,538313,177169,-0.00976404739313359,51.4765799214619
"SE109BG",1,538354,177618,-0.00899834773246206,51.4806046479631
"SE109BJ",2,538282,177665,-0.01001613967828,51.4810445836307
"SE109BL",4,538292,177738,-0.00984366604657436,51.4816981237223
"SE109EJ",3,538236,177725,-0.0106546850551903,51.4815949815594
"SE109EQ",1,539395,178215,0.00621837175143605,51.4857139222008
"SE109EZ",1,539484,177989,0.00741013745835,51.4836611699571
"SE109HT",1,538305,177841,-0.0096162732087246,51.4826205123768
"SE109JH",2,538441,177597,-0.00775452567247466,51.4803946733625
"SE109JN",1,538419,177513,-0.00810402331888337,51.4796452237797
"SE109NP",1,538722,178081,-0.00352063826030909,51.4846751290168
"SE109PD",1,538950,178289,-0.000157356318876996,51.4864882979602
"SE109RB",1,538127,177732,-0.0122206428540854,51.4816844888868
"SE109RF",1,538231,177679,-0.0107446313995534,51.4811828432327
"SE109SW",1,538223,177695,-0.0108535074386603,51.4813285736145
"SE109TZ",1,539271,178121,0.00439661766819838,51.4848997628685
"SE109UW",1,539076,178018,0.00154953023540425,51.4840221483971
"SE128HG",1,540435,175268,0.0200166207220029,51.4589753753501
"SE129AL",1,541182,173804,0.0301778901524227,51.445634390233
"SE181PP",2,545297,178538,0.0912939703574309,51.4871320572188
"SE181SW",1,545440,178857,0.0934834011422037,51.4899616969126
"SE182SB",1,545025,177612,0.0869992542330761,51.4788812247129
"SE183HP",1,543914,176455,0.070541053226869,51.4687683475433
"SE184LT",1,541852,176932,0.0410661063885874,51.4735747677973
"SE185QE",1,542799,179055,0.0555498070748565,51.4924134024354
"SE186GH",1,543784,179100,0.0697465906106397,51.4925683451503
"SE186HU",1,543541,178860,0.0661512289587057,51.4904734844124
"SE186JL",3,543221,179098,0.0616416951981641,51.4926931415354
"SE186JR",2,543521,178666,0.0657845489080091,51.4887353442572
"SE186LE",1,543668,178890,0.0679914367409479,51.4907108273933
"SE186LF",2,543661,178936,0.0679093851013545,51.4911259427629
"SE186LQ",3,543523,178996,0.065947390702013,51.4917000949637
"SE186LU",1,543431,179044,0.0646426147285123,51.4921547302037
"SE186NA",1,543396,179115,0.0641676337248057,51.4928015801485
"SE186NU",1,543613,178759,0.0671465262921046,51.4895476703902
"SE186PF",1,543530,178812,0.0659733974098687,51.4900449640562
"SE186PH",1,543559,178769,0.0663733412530146,51.4896512266637
"SE186PQ",1,543564,178781,0.066450184833649,51.489757785888
"SE186SN",1,544114,179289,0.074573840743715,51.4941826762007
"SE280BJ",1,544739,178974,0.0834415297974587,51.491192716345
"SE280EY",1,545187,179577,0.0901378007746854,51.4964962088232
"SE280JS",1,545290,179888,0.0917484813413932,51.4992642514668
"SE288RA",2,546327,180786,0.107049543327526,51.5070658631223
"SE288RD",3,546055,180674,0.103086762909932,51.5061298030337
"SE29BB",1,546914,179769,0.115078308154682,51.4977756172938
"SE29RH",2,547356,178950,0.121099491488222,51.4903017081502
"SE37AB",1,540295,177284,0.018802325809519,51.4771256934818
"SE37HG",1,540454,177364,0.0211221132927582,51.4778051467812
"SE37JQ",1,540144,177259,0.0166195240441004,51.4769384394312
"SE37SX",1,540335,177247,0.0193632405771375,51.4767833023213
"SE38SR",1,540761,177310,0.0255183956404352,51.4772436709172
"SE38SU",1,540805,177197,0.0261065555265007,51.4762173270553
"SE39EX",1,540708,175518,0.0240429137776213,51.4611541207123
"SE39PP",2,541035,175930,0.0289109807828824,51.4647749936515
"SE39RQ",1,539694,175895,0.00960531345183268,51.4647927727509
"SE77AL",1,540813,178422,0.0267096625475529,51.4872230211377
"SE77AX",1,540604,178477,0.023723382387247,51.4877692006707
"SE77SE",1,540342,178676,0.020031368323803,51.4896224171034
"SE77SR",3,540658,178600,0.0245495835866155,51.4888610449709
"SE77ST",1,540516,178587,0.022500513933463,51.4887795008415
"SE77TZ",2,540393,178571,0.0207237375559461,51.4886662505002
"SE78UD",1,541573,177839,0.03741483347138,51.4817947173667
"SE91BJ",6,542957,174403,0.0559438474297585,51.4505719896745
"SE91BW",1,542768,174380,0.0532165009886281,51.4504129592831
"SE91TD",6,542796,174437,0.0536421624304581,51.4509180935371
"SE91TJ",1,542927,174442,0.0555281489190248,51.4509300003474
"SE91TQ",2,542918,174458,0.0554051735986484,51.4510760419946
"SE91TS",1,543132,174453,0.058480785632162,51.4509771070544
"SE91TU",1,543068,174454,0.0575607779363615,51.4510022526393
"SE92BD",1,544230,173067,0.0737071476788464,51.4382446228951
"SE92SY",1,543462,173903,0.0630038516233228,51.4459515277167
"SE93AQ",1,543328,172826,0.0606412760514637,51.4363077906196
"SE93TU",1,544203,172831,0.0732229303128732,51.4361308723679
"SE95DA",2,542855,174347,0.0544543606010863,51.4500945068046
"SE95ED",1,542377,174456,0.0476239553675069,51.4511942402344
"SE95LN",1,541294,174583,0.0320992467450462,51.4526064875368
"SE95LU",1,541322,174277,0.0323798236284973,51.4498498271512
"SE95SU",1,542306,174506,0.0466229559259844,51.4516613625505
"SE96DR",1,541902,174954,0.0409922690572383,51.4557883142301
