"pcd","hotspots","easting","northing","latitude","longitude"
"E10HA",1,535489,181226,-0.0488462011883778,51.5137199472834
"E10HJ",2,535952,181176,-0.0421973062212747,51.5131595154697
"E10QW",1,535652,181466,-0.0464063824362308,51.5158375602898
"E10RA",1,535864,181284,-0.0434230865130024,51.5141511739448
"E11AG",1,534297,181451,-0.0659280236640383,51.5160262107263
"E11AJ",1,534192,181302,-0.0674970120517083,51.5147121771883
"E11BJ",3,534884,181833,-0.0573274364835351,51.5193192432378
"E11BS",1,534946,181849,-0.0564282701289311,51.5194482284302
"E11BU",1,534859,181910,-0.05765809515272,51.5200171492757
"E11DB",1,534632,181810,-0.0609660191285183,51.5191726230229
"E11DN",1,534448,181733,-0.0636456972263282,51.5185244634346
"E11DU",4,534124,181554,-0.0683805849848819,51.5169928643372
"E11JE",1,534442,181669,-0.063756511978435,51.5179507671187
"E12BT",2,534825,181330,-0.058369511184946,51.5148132219512
"E12LH",1,534609,181206,-0.0615277735987949,51.5137503814724
"E12NB",1,534833,181288,-0.0582703414246046,51.5144338909392
"E12PS",1,535054,181303,-0.0550816685208135,51.5145159461322
"E12QF",1,534936,180942,-0.0569192066029872,51.5113000729249
"E13BG",1,535071,181627,-0.0547127801113472,51.5174234318418
"E140EB",1,537833,181029,-0.0151651326902675,51.5113832286417
"E142AA",2,538628,181095,-0.003690400791174,51.5117819854978
"E142BE",1,538552,180919,-0.00485398773881471,51.5102190760169
"E143BT",1,538028,179089,-0.0131153609106713,51.4939027369485
"E143BW",1,538509,178527,-0.00641145138402643,51.4887350602342
"E143NB",1,538024,179328,-0.0130795506973667,51.4960513812723
"E144AB",1,537189,180547,-0.0246268411585669,51.507208519009
"E144AE",2,537242,180597,-0.0238442076037956,51.5076449665336
"E144AL",1,537242,180597,-0.0238442076037956,51.5076449665336
"E144DH",1,537395,180408,-0.0217145791831688,51.5059094502105
"E144EB",1,537395,180408,-0.0217145791831688,51.5059094502105
"E144EY",1,537395,180408,-0.0217145791831688,51.5059094502105
"E144HB",1,537089,180474,-0.0260951798539309,51.5065767786523
"E144HD",1,537089,180474,-0.0260951798539309,51.5065767786523
"E144JA",1,537192,180197,-0.0247196675089362,51.5040626537165
"E144PH",2,537374,180252,-0.0220776748113638,51.5045127200572
"E144QQ",1,537401,180327,-0.0216597107494824,51.505180119372
"E144QS",2,537401,180327,-0.0216597107494824,51.505180119372
"E144QT",5,537401,180327,-0.0216597107494824,51.505180119372
"E145AA",1,537555,180306,-0.01945042031559,51.5049539833716
"E145AB",4,537555,180306,-0.01945042031559,51.5049539833716
"E145AH",2,537695,180255,-0.0174544404988214,51.5044616319353
"E145AX",3,537555,180306,-0.01945042031559,51.5049539833716
"E145EH",1,537482,180234,-0.0205295953936374,51.5043247322303
"E145EW",1,537775,180275,-0.0162947212912711,51.5046218740588
"E145HP",2,537908,180337,-0.0143554392574349,51.5051466000129
"E145HQ",1,537654,180370,-0.0179999536457713,51.5055050089683
"E145HX",1,537775,180275,-0.0162947212912711,51.5046218740588
"E145NN",1,537756,180193,-0.0166002992368966,51.5038896440075
"E145NP",1,537737,180051,-0.0169292747872186,51.5026182487786
"E145NY",5,537620,180099,-0.0185951722429732,51.5030780552997
"E145RB",2,537894,180257,-0.0145882762355832,51.504431128729
"E145SP",1,538253,180565,-0.00929845618266457,51.507111196762
"E146AT",1,537775,181327,-0.0158840399385434,51.5140752043017
"E146BB",1,537666,181580,-0.0173551314867249,51.5163752224791
"E146BP",1,537929,181044,-0.0137767658331155,51.5114946136938
"E146DR",1,537649,181094,-0.0177895819653261,51.5120121377101
"E146JJ",1,537037,181016,-0.0266335141812336,51.5114598528325
"E146LP",1,537855,181295,-0.0147443875882043,51.5137681538436
"E147JD",1,536093,181121,-0.040187855317667,51.5126313601487
"E147LS",1,536182,181240,-0.0388601765826776,51.5136792893926
