"pcd","hotspots","easting","northing","latitude","longitude"
"E152EE",1,537328,185058,-0.0208681350661185,51.5477108963372
"E16HU",1,533459,182390,-0.0776424948081767,51.5246628205972
"E16JJ",1,533559,182333,-0.0762235032940995,51.5241269799679
"E16JN",1,533454,182573,-0.0776452614045696,51.5263085049725
"E27NX",1,533505,182736,-0.0768488166234936,51.5277612371606
"E28AA",1,533409,182809,-0.078204244990151,51.5284399087539
"E28AN",1,533437,183462,-0.0775536465853864,51.5343013862461
"E28FF",1,533567,183134,-0.0758047968725917,51.5313231542472
"E28NA",2,534042,183139,-0.0689591636616057,51.531255623237
"E28QY",1,534330,183386,-0.064715582162,51.53340685252
"E50LF",1,535523,185674,-0.0466461091647339,51.5536823610697
"E50LH",2,535639,185633,-0.0449898008358423,51.5532860776017
"E50QJ",1,534984,185842,-0.0543512480721897,51.5553211427549
"E50QR",1,535060,185665,-0.0533235976024656,51.5537124144254
"E58BD",1,534840,186399,-0.0562136492546563,51.5603608603017
"E58DG",1,534781,186147,-0.0571607619041323,51.5581104268059
"E58HB",1,534934,185332,-0.0552674924036432,51.5507501321529
"E58RL",1,534400,186644,-0.0624635282967093,51.562667405217
"E59AE",1,533756,187753,-0.0713268465306684,51.5727861291301
"E59AG",1,533798,187795,-0.0707051849574243,51.5731535949199
"E59DD",1,534704,186756,-0.058037678344743,51.5636014001954
"E59HG",1,535090,187240,-0.0522865005628431,51.5678584603699
"E59JP",1,534788,186502,-0.0569238747668282,51.5612988559652
"E59JZ",1,534627,186828,-0.0591203095981371,51.5642667760848
"E59RB",1,535507,186521,-0.0465506330331192,51.5612974667978
"E81EA",1,534870,184694,-0.0564343319708794,51.5450322164257
"E81HE",2,534961,184626,-0.0551488911822816,51.5443994189771
"E81HF",1,534900,184700,-0.0559996719158901,51.5450789699201
"E81HN",1,534967,185152,-0.0548608320880592,51.5491247302923
"E81HR",2,534972,185054,-0.0548263291243885,51.5482428874883
"E81HY",4,534935,185079,-0.0553500329990686,51.5484763835059
"E81JB",2,534940,184969,-0.0553201189739725,51.5474867061671
"E81LA",1,534476,185065,-0.0619710346641189,51.5484600499251
"E81LL",2,534786,185020,-0.0575201772177854,51.5479817747416
"E82AH",1,534562,185175,-0.0606894645006232,51.5494280527353
"E82JP",2,533557,184914,-0.0752741164916329,51.5473211813783
"E82JS",4,533521,184936,-0.0757846414828996,51.5475273917594
"E82JT",1,533513,184796,-0.0759530223222393,51.5462711983746
"E82LR",1,533728,185209,-0.0726974733851266,51.5499316788956
"E82LX",4,533622,184976,-0.0743137495778668,51.5478629588522
"E82PB",1,533530,185152,-0.0755730166144971,51.5494663078949
"E83AH",1,533884,184778,-0.070612794772902,51.5460216288303
"E83AR",1,533960,184644,-0.0695684129967543,51.5447994471583
"E83AZ",1,533706,184782,-0.0731767044687471,51.5460997370897
"E83DE",1,533581,184744,-0.0749926875112091,51.5457878325473
"E83DF",1,533672,184813,-0.0736549649416229,51.5463863598546
"E83NS",1,534934,184439,-0.0556096478457506,51.5427254469991
"E83PE",1,534761,184331,-0.0581441280369894,51.5417962304573
"E83PH",1,534801,184272,-0.0575902627152493,51.5412564996852
"E83RB",1,534975,184561,-0.0549720339234154,51.5438119701684
"E83RD",1,534986,184281,-0.0549208037923299,51.5412932020603
"E83RH",1,534870,184067,-0.056674392102514,51.5393978549212
"E84AE",1,533528,184463,-0.0758630782997896,51.5432752078259
"E84AR",1,533503,184719,-0.0761263369244383,51.5455816153471
"E84DG",1,533517,183860,-0.0762501389065839,51.5378590515648
"E95LH",1,536992,184615,-0.0258831001425068,51.5438116718089
"E96BN",1,535545,185163,-0.0465257162779501,51.5490851558634
"E96LG",1,535490,184934,-0.0474065565662918,51.5470405213744
"E96NA",1,535051,184791,-0.053788555726344,51.5458606323559
"E96ND",1,535124,184911,-0.0526904156930431,51.5469215172251
"E96QH",1,535193,184596,-0.0518168607332468,51.5440743555218
"E96QU",1,535465,184526,-0.0479238003081918,51.5433801599509
