"pcd","hotspots","easting","northing","latitude","longitude"
"HA11AR",2,515339,188217,-0.336797542805829,51.5810212676661
"HA11AS",1,515339,188217,-0.336797542805829,51.5810212676661
"HA11AT",1,515339,188217,-0.336797542805829,51.5810212676661
"HA11BE",1,515396,188130,-0.33600384011796,51.5802276958477
"HA11FD",1,515348,188078,-0.336713323173819,51.5797701584964
"HA11HS",7,515196,188261,-0.338845996011127,51.5814459356122
"HA11JP",1,515275,188285,-0.337698485660614,51.5816455010951
"HA11JU",3,515438,188235,-0.335363490621947,51.5811627961029
"HA11JX",1,515336,188288,-0.336817523059453,51.5816599968252
"HA11LA",2,515441,188284,-0.335304120762227,51.5816025717609
"HA11LG",1,515526,188278,-0.334079896443303,51.5815312478175
"HA11LQ",2,515498,188234,-0.334498277052842,51.5811415289463
"HA11NA",2,515586,188375,-0.333182449706166,51.5823907490837
"HA11NB",1,515416,188227,-0.335683483008967,51.5810953966902
"HA12AA",1,515510,188176,-0.334344228116922,51.5806177951188
"HA12AN",1,515821,188697,-0.329686210114175,51.5852365323267
"HA12AW",2,515516,188048,-0.334299737201916,51.5794661618491
"HA12DD",1,515575,187974,-0.333472981276397,51.5787890018756
"HA12DE",2,515557,188073,-0.333700087699087,51.5796824547012
"HA12DH",1,515637,188072,-0.332546399054519,51.5796570769045
"HA12DR",1,515552,188160,-0.33374361567985,51.5804653943031
"HA12TA",2,515575,188317,-0.333360208102009,51.5818717258754
"HA12TB",2,515661,188457,-0.332073509965112,51.5831123551467
"HA12TU",2,515615,188829,-0.332614738151382,51.5864651427057
"HA13EF",1,515163,187209,-0.33966662414302,51.5719977523148
"HA13PP",1,515216,185847,-0.339348254146515,51.5597458485464
"HA13QW",1,515478,185662,-0.335631191306928,51.5580296229919
"HA14TU",1,515098,189636,-0.339809325465158,51.5938238213214
"HA20AG",1,514241,187207,-0.352965202470217,51.5721671605743
"HA20AJ",1,514126,187211,-0.354622549214762,51.5722263776129
"HA20DW",1,514603,186862,-0.347856504239658,51.5689930419605
"HA20EG",1,514309,186708,-0.352146607119789,51.5676685624695
"HA20EW",1,514307,186472,-0.352252130711684,51.5655478844257
"HA20HL",1,514740,186988,-0.345839597389412,51.5700976475902
"HA20NG",1,514350,186465,-0.351634307779895,51.5654762623175
"HA26NB",1,513702,190658,-0.359622502906459,51.6032923641438
"HA27SE",1,513642,188653,-0.361137179282657,51.5852842517186
"HA28DU",1,514209,186379,-0.353695567463467,51.5647318684217
"HA28EX",1,513868,185911,-0.358764458507952,51.5605945206631
"HA28HR",1,514215,186325,-0.353626572873081,51.5642453214557
"HA28HS",1,514182,186279,-0.354117376655743,51.5638385648945
"HA28HT",1,514182,186279,-0.354117376655743,51.5638385648945
"HA28JN",1,513741,185582,-0.36070204196229,51.5576631691634
"HA29TY",1,513052,187387,-0.370056389796274,51.5740243721633
"HA36AA",1,515901,190871,-0.327814651267351,51.6047588979706
"HA36DL",1,515561,191822,-0.332408768426767,51.6133757983693
"HA36HE",1,515076,191158,-0.339627946262648,51.6075073341646
"HA36HF",3,515084,190918,-0.339591164946889,51.605348695747
"HA36LE",1,513990,190768,-0.355430117863391,51.6042228405253
"HA37AA",1,515444,189577,-0.334836033053222,51.5932228342778
"HA37AJ",1,515404,189949,-0.335290984484601,51.5965743784932
"HA37QU",1,515653,189687,-0.331784047707084,51.5941686376707
"HA38AT",1,516713,188420,-0.316909422922575,51.5825631607347
"HA38BL",1,516859,188540,-0.314763327402407,51.5836114307421
"HA38DN",1,517618,188981,-0.303666189265369,51.5874171350363
"HA38DW",1,517650,188992,-0.303200827700377,51.5875093226879
"HA38RF",1,516527,190509,-0.318899705039655,51.6013763937917
"HA38RP",1,516958,189898,-0.312883040426547,51.5957958388097
"HA38RQ",1,516657,190467,-0.31703750288505,51.6009720375129
"HA38SA",1,516587,190448,-0.318054041828159,51.6008157560514
"HA39DW",1,517859,188978,-0.300190184204725,51.5873398680039
"HA52AG",1,511239,189902,-0.395410736272723,51.5969889764765
"HA53EE",1,512156,189710,-0.382238751483439,51.5950816902933
"HA53EG",1,512106,189684,-0.382968573075282,51.5948579511941
"HA53EN",1,511995,189870,-0.38451103643809,51.5965517259655
"HA53HR",2,512052,189663,-0.383754513773175,51.5946799409747
"HA53HU",1,512100,189618,-0.383076219550305,51.5942659534131
"HA53HZ",1,511946,189722,-0.385265325970926,51.5952312697563
"HA53RX",1,511382,190152,-0.393267790045606,51.5992076924487
