"pcd","hotspots","easting","northing","latitude","longitude"
"EN48RN",1,526631,196141,-0.171053755350493,51.6498105516201
"EN48RR",1,526396,196176,-0.174435986162051,51.6501779133633
"EN48ST",1,527175,195398,-0.163464889849995,51.643010827903
"EN48TB",1,527210,195237,-0.163017826148072,51.6415560737251
"EN49HU",1,527761,196691,-0.154528903008051,51.6544977649528
"EN51AB",1,525464,195760,-0.188049152529521,51.6466479833382
"EN51EU",1,525590,195700,-0.186250559272159,51.6460806787238
"EN52BB",1,525276,195845,-0.190734470881962,51.647453732974
"EN52LZ",1,524193,195569,-0.206477086678361,51.6452133834665
"EN53EP",1,523199,196316,-0.220572697024551,51.6521450329311
"EN53JG",2,520880,195169,-0.254472580478993,51.6423397888289
"EN54LA",1,524316,197004,-0.20419073651015,51.658082306193
"EN55QN",1,525755,196867,-0.183447882203811,51.6565313279171
"EN55SU",1,524504,196977,-0.201483912434,51.6577980911321
"EN55TD",1,524537,196984,-0.20100460416846,51.6578536950351
"EN55UW",1,524642,196421,-0.199687963495065,51.6527708850569
"EN55UX",1,524481,196634,-0.201938243518549,51.654720710732
"EN55UZ",3,524460,196759,-0.202197200113668,51.6558487054898
"EN55XQ",4,524524,196611,-0.201325161491106,51.6545045001382
"EN55XW",1,524517,196687,-0.201399258632803,51.6551890453837
"EN55XY",6,524395,196701,-0.203156961217419,51.6553418452568
"HA80BE",1,520159,190466,-0.266498580828563,51.6002275575671
"HA80LQ",1,520135,190577,-0.266806949609192,51.6012302503716
"HA80NL",1,520757,190965,-0.257697092390211,51.6045843771429
"HA85LZ",1,519342,191905,-0.277799653565082,51.6133337214941
"HA87AE",1,519416,191816,-0.276761721011791,51.6125181827271
"HA87AR",1,519497,192034,-0.275518218539722,51.6144602255643
"HA87AW",1,519498,191921,-0.275542272130849,51.6134444584743
"HA87AW",1,519498,191921,-0.275542272130849,51.6134444584743
"HA87BD",5,519470,191857,-0.27596825917877,51.6128752134305
"HA87BG",2,519470,191857,-0.27596825917877,51.6128752134305
"HA87HN",1,519300,191700,-0.278475647592837,51.6115002325619
"HA87JG",2,519435,191959,-0.27643877220691,51.6137993285291
"HA87JJ",1,519425,191943,-0.276588574754696,51.6136576523854
"HA87RY",1,519408,191801,-0.276882307596631,51.612385069549
"HA88AF",1,518353,192824,-0.291766333896393,51.6218016130007
"HA89BU",1,520714,191630,-0.258088961183379,51.6105700352236
"HA89RZ",1,520493,192368,-0.261025510755876,51.6172498405168
"N101LR",1,528396,190586,-0.147590803468457,51.5994902770471
"N101ST",1,528074,191264,-0.15198993313253,51.6056564498507
"N113BG",1,528340,192063,-0.147858792680544,51.6127762363583
"N113JB",1,527920,192227,-0.153861405527999,51.6143455396479
"N113PW",2,528704,191943,-0.142648749477616,51.611614830805
"N120BP",1,526360,192120,-0.176418496971748,51.6137359450367
"N120DA",1,526384,191869,-0.176162478745543,51.6114748931929
"N120GL",2,526583,191131,-0.173556296243552,51.6047980264768
"N120QG",1,527438,191567,-0.161058730336557,51.6085235615059
"N120QZ",4,526519,191247,-0.174438128094679,51.6058548561642
"N120SH",2,527767,191398,-0.156371800219188,51.6069303323925
"N128JR",1,526299,192402,-0.177197490723646,51.616283879178
"N128JX",1,526306,192331,-0.177122006693781,51.6156442521589
"N128NR",2,526129,191853,-0.179848929665498,51.6113882350392
"N128PR",1,526306,192484,-0.177066914016256,51.6170192219212
"N129QD",2,526393,192159,-0.175928097396022,51.6140790265481
"N129QF",1,526360,192371,-0.176328085176791,51.6159916140484
"N129QG",3,526364,192259,-0.176310688921543,51.6149842034921
"N129QH",3,526360,192321,-0.176346096434371,51.6155422776705
"N129QL",1,526411,192095,-0.175691330036996,51.6134998382819
"N129QR",1,526360,192371,-0.176328085176791,51.6159916140484
"N129QU",2,526349,192427,-0.17646670455436,51.6164973375241
"N129QZ",1,526352,192472,-0.176407187517722,51.6169010674806
"N200EW",1,526393,193926,-0.175291183139619,51.6299585506989
"N200PB",1,526457,193887,-0.174381097720678,51.6295937024803
"N200PD",1,526401,193749,-0.175239493491418,51.6283661090871
"N200SG",1,527837,193271,-0.154678950270797,51.6237464014131
"N208NX",1,524931,193894,-0.196413994657597,51.6299971905858
"N209BY",1,526535,194361,-0.173083650937994,51.6338358727171
"N209DR",1,526359,194462,-0.175588876977987,51.6347830507587
"N209EZ",1,526819,193904,-0.169147741943597,51.6296650763015
"N209HH",1,526437,193980,-0.174636345300995,51.6304339557523
"N209HR",1,526345,194151,-0.175903188612344,51.6319913292136
"N209HS",1,526379,194022,-0.175458726385195,51.6308244157951
"N209HX",1,526368,194064,-0.175602425124316,51.6312043256234
"N209HY",1,526419,194048,-0.174871739067107,51.6310490920669
"N20DP",1,526149,189013,-0.180580566914955,51.5858613242288
"N20LZ",1,526739,189519,-0.17188672601166,51.5902763608987
"N20NW",1,527242,189204,-0.164743884157277,51.5873322858835
"N28AB",1,527238,189405,-0.164728796720603,51.5891395173481
"N28AW",1,527255,189268,-0.164533161568744,51.5879045025634
"N28DL",1,526779,189887,-0.17117681303047,51.5935744903417
"N31DH",1,525127,190658,-0.194738015785806,51.6008723385227
"N31DN",1,525109,190628,-0.195008462027135,51.6006067280123
"N31LP",1,525617,191246,-0.187456492108062,51.6060476105051
"N31XP",4,525357,190938,-0.191318935975371,51.6033375539118
"N31XY",3,525468,191055,-0.189675206161257,51.6043643162179
"N32BB",1,525350,190836,-0.191456379364671,51.6024224546027
"N32BH",1,525280,190774,-0.192488699378135,51.6018808318703
"N32DN",1,525512,191037,-0.189046637019754,51.6041927583388
"N32RY",1,525232,190664,-0.193220634433756,51.6009029451043
"N32TA",1,525739,189996,-0.186143402893739,51.5947869096505
"N33HP",2,524914,190163,-0.197987892803246,51.5964710772483
"NW110QB",1,524863,188527,-0.199305244633361,51.5817798355692
"NW110QN",1,524811,188623,-0.200021246609689,51.5826540844334
"NW110QS",2,524823,188661,-0.199834648606874,51.5829929313834
"NW110QX",1,524810,188719,-0.200001579037161,51.5835170476468
"NW116XJ",1,524887,188637,-0.198919961057991,51.5827630812018
"NW116XL",1,524866,188664,-0.199213296980397,51.5830103758756
"NW117ES",1,524929,188280,-0.198440992990522,51.5795454617972
"NW117NX",1,525136,187448,-0.195751314828862,51.5720224996515
"NW117RN",1,525199,187471,-0.194834556660844,51.572215225101
