"pcd","hotspots","easting","northing","latitude","longitude"
"SE10AJ",1,531953,179523,-0.1004099512693,51.4992520890587
"SE10BJ",1,531772,179807,-0.102910010208443,51.5018464475894
"SE10EF",1,532102,179822,-0.0981527935551876,51.50190428515
"SE10HR",1,532129,180168,-0.0976345359717227,51.5050073085697
"SE10HX",1,531964,180222,-0.099990317026971,51.5055310963837
"SE10LH",1,531942,180037,-0.100376259209582,51.5038737238284
"SE10LR",1,531809,179994,-0.102307441872887,51.5035183083959
"SE10NZ",1,531950,180195,-0.1002020087685,51.5052917265359
"SE10SW",1,531871,180294,-0.101302618189758,51.5061998138094
"SE10UG",1,531846,180186,-0.101702960470391,51.505235097786
"SE114JQ",1,531649,178331,-0.105231189568318,51.4886109363463
"SE11AE",1,532419,179695,-0.0936360076205861,51.5006888922718
"SE11DX",1,532197,179557,-0.0968841181884667,51.4995006720299
"SE11EP",1,532368,179762,-0.0943452094097319,51.5013029213187
"SE11HR",1,532538,179922,-0.0918373917411729,51.5027009562046
"SE11JD",2,532449,179733,-0.0931898022213488,51.5010233560438
"SE11JX",1,532379,179734,-0.0941973223175738,51.5010487259787
"SE11JX",1,532379,179734,-0.0941973223175738,51.5010487259787
"SE11LB",2,532487,179928,-0.0925694900499787,51.502766821156
"SE11LY",1,532704,180188,-0.0893471729629933,51.5050524380215
"SE11NB",1,532678,180153,-0.0897347202559037,51.5047440109811
"SE11NH",1,532627,180096,-0.0904905158497182,51.5042437423828
"SE11QN",1,532363,179705,-0.0944385693273984,51.5007918614601
"SE11RQ",1,532582,180128,-0.0911264752268168,51.5045418577976
"SE11TU",1,532545,180159,-0.0916476209372217,51.5048291089235
"SE11UN",1,532339,180171,-0.0946094605763156,51.5049851776086
"SE11XU",1,532610,180123,-0.0907251650992835,51.5044903622802
"SE11YB",1,532618,180139,-0.0906039580622768,51.5046322701909
"SE12AF",1,533259,180236,-0.0813372330547285,51.5053533129771
"SE12BS",2,533909,179701,-0.072180345353366,51.5003921071221
"SE12BY",1,533263,180148,-0.0813128535265954,51.5045615664845
"SE12DA",2,533131,180214,-0.0831887005129443,51.5051857514942
"SE12ER",1,533115,180096,-0.0834635901458099,51.5041291190329
"SE12HD",4,533105,180292,-0.0835336827034644,51.505892810956
"SE12HU",1,533199,180275,-0.0821865031988201,51.5057179147696
"SE12JP",2,533354,180059,-0.0800361174338892,51.5037403312669
"SE12LN",1,533618,180020,-0.0762494854735737,51.5033275667188
"SE12NJ",1,533693,180083,-0.0751456982117484,51.5038759888837
"SE12QN",2,533042,180240,-0.0844604776833013,51.5054403379412
"SE12QX",1,533100,180100,-0.0836780729630508,51.504168594258
"SE12RS",1,533263,180148,-0.0813128535265954,51.5045615664845
"SE12RT",1,533263,180148,-0.0813128535265954,51.5045615664845
"SE12SW",1,532831,180288,-0.0874807806174353,51.5059212743781
"SE12TF",1,533082,180163,-0.0839135131382974,51.5047389739759
