"","pcd","hotspots","easting","northing","latitude","longitude"
"1795","SE100DX",4,539299,179977,0.0055314962373258,51.5015708224082
"1796","SE100DY",1,539130,179991,0.00310377882291706,51.5017382136074
"1797","SE100DY",2,539130,179991,0.00310377882291706,51.5017382136074
"1798","SE100EN",1,539299,179977,0.0055314962373258,51.5015708224082
"1799","SE100ES",1,539346,179911,0.00618214646172588,51.5009661751905
"1800","SE100PH",1,539182,179825,0.00378703503241984,51.5002337534293
"1801","SE100PH",1,539182,179825,0.00378703503241984,51.5002337534293
"1802","SE100QJ",3,539835,178730,0.0127549936577402,51.490233150828
"1803","SE100UZ",1,540202,178646,0.0180043124625751,51.4893875385737
"1804","SE108DA",1,537742,176763,-0.0181389600515078,51.4730707471301
"1805","SE108ER",1,538449,177410,-0.00771262830970171,51.4787123247056
"1806","SE108JL",3,537570,176982,-0.0205286869233137,51.4750805199435
"1807","SE108NA",1,538299,177572,-0.00980786771242886,51.4802047269917
"1808","SE108NB",1,538192,177428,-0.0114040183086643,51.4789368595421
"1809","SE108NF",1,538258,177490,-0.0104299770304502,51.4794778830918
"1810","SE108RT",1,538313,177169,-0.00976404739313359,51.4765799214619
"1811","SE109BG",1,538354,177618,-0.00899834773246206,51.4806046479631
"1812","SE109BJ",2,538282,177665,-0.01001613967828,51.4810445836307
"1813","SE109BL",4,538292,177738,-0.00984366604657436,51.4816981237223
"1814","SE109EJ",3,538236,177725,-0.0106546850551903,51.4815949815594
"1815","SE109EQ",1,539395,178215,0.00621837175143605,51.4857139222008
"1816","SE109EZ",1,539484,177989,0.00741013745835,51.4836611699571
"1817","SE109HT",1,538305,177841,-0.0096162732087246,51.4826205123768
"1818","SE109JH",2,538441,177597,-0.00775452567247466,51.4803946733625
"1819","SE109JN",1,538419,177513,-0.00810402331888337,51.4796452237797
"1820","SE109NP",1,538722,178081,-0.00352063826030909,51.4846751290168
"1821","SE109PD",1,538950,178289,-0.000157356318876996,51.4864882979602
"1822","SE109RB",1,538127,177732,-0.0122206428540854,51.4816844888868
"1823","SE109RF",1,538231,177679,-0.0107446313995534,51.4811828432327
"1824","SE109SW",1,538223,177695,-0.0108535074386603,51.4813285736145
"1825","SE109TZ",1,539271,178121,0.00439661766819838,51.4848997628685
"1826","SE109UW",1,539076,178018,0.00154953023540425,51.4840221483971
"1827","SE128HG",1,540435,175268,0.0200166207220029,51.4589753753501
"1828","SE129AL",1,541182,173804,0.0301778901524227,51.445634390233
"1829","SE181PP",2,545297,178538,0.0912939703574309,51.4871320572188
"1830","SE181SW",1,545440,178857,0.0934834011422037,51.4899616969126
"1831","SE182SB",1,545025,177612,0.0869992542330761,51.4788812247129
"1832","SE183HP",1,543914,176455,0.070541053226869,51.4687683475433
"1833","SE184LT",1,541852,176932,0.0410661063885874,51.4735747677973
"1834","SE185QE",1,542799,179055,0.0555498070748565,51.4924134024354
"1835","SE186GH",1,543784,179100,0.0697465906106397,51.4925683451503
"1836","SE186HU",1,543541,178860,0.0661512289587057,51.4904734844124
"1837","SE186JL",3,543221,179098,0.0616416951981641,51.4926931415354
"1838","SE186JR",2,543521,178666,0.0657845489080091,51.4887353442572
"1839","SE186LE",1,543668,178890,0.0679914367409479,51.4907108273933
"1840","SE186LF",2,543661,178936,0.0679093851013545,51.4911259427629
"1841","SE186LQ",3,543523,178996,0.065947390702013,51.4917000949637
"1842","SE186LU",1,543431,179044,0.0646426147285123,51.4921547302037
"1843","SE186NA",1,543396,179115,0.0641676337248057,51.4928015801485
"1844","SE186NU",1,543613,178759,0.0671465262921046,51.4895476703902
"1845","SE186PF",1,543530,178812,0.0659733974098687,51.4900449640562
"1846","SE186PH",1,543559,178769,0.0663733412530146,51.4896512266637
"1847","SE186PQ",1,543564,178781,0.066450184833649,51.489757785888
"1848","SE186SN",1,544114,179289,0.074573840743715,51.4941826762007
"1849","SE280BJ",1,544739,178974,0.0834415297974587,51.491192716345
"1850","SE280EY",1,545187,179577,0.0901378007746854,51.4964962088232
"1851","SE280JS",1,545290,179888,0.0917484813413932,51.4992642514668
"1852","SE288RA",2,546327,180786,0.107049543327526,51.5070658631223
"1853","SE288RD",3,546055,180674,0.103086762909932,51.5061298030337
"1854","SE29BB",1,546914,179769,0.115078308154682,51.4977756172938
"1855","SE29RH",2,547356,178950,0.121099491488222,51.4903017081502
"1856","SE37AB",1,540295,177284,0.018802325809519,51.4771256934818
"1857","SE37HG",1,540454,177364,0.0211221132927582,51.4778051467812
"1858","SE37JQ",1,540144,177259,0.0166195240441004,51.4769384394312
"1859","SE37SX",1,540335,177247,0.0193632405771375,51.4767833023213
"1860","SE38SR",1,540761,177310,0.0255183956404352,51.4772436709172
"1861","SE38SU",1,540805,177197,0.0261065555265007,51.4762173270553
"1862","SE39EX",1,540708,175518,0.0240429137776213,51.4611541207123
"1863","SE39PP",2,541035,175930,0.0289109807828824,51.4647749936515
"1864","SE39RQ",1,539694,175895,0.00960531345183268,51.4647927727509
"1865","SE77AL",1,540813,178422,0.0267096625475529,51.4872230211377
"1866","SE77AX",1,540604,178477,0.023723382387247,51.4877692006707
"1867","SE77SE",1,540342,178676,0.020031368323803,51.4896224171034
"1868","SE77SR",3,540658,178600,0.0245495835866155,51.4888610449709
"1869","SE77ST",1,540516,178587,0.022500513933463,51.4887795008415
"1870","SE77TZ",2,540393,178571,0.0207237375559461,51.4886662505002
"1871","SE78UD",1,541573,177839,0.03741483347138,51.4817947173667
"1872","SE91BJ",6,542957,174403,0.0559438474297585,51.4505719896745
"1873","SE91BW",1,542768,174380,0.0532165009886281,51.4504129592831
"1874","SE91TD",6,542796,174437,0.0536421624304581,51.4509180935371
"1875","SE91TJ",1,542927,174442,0.0555281489190248,51.4509300003474
"1876","SE91TQ",2,542918,174458,0.0554051735986484,51.4510760419946
"1877","SE91TS",1,543132,174453,0.058480785632162,51.4509771070544
"1878","SE91TU",1,543068,174454,0.0575607779363615,51.4510022526393
"1879","SE92BD",1,544230,173067,0.0737071476788464,51.4382446228951
"1880","SE92SY",1,543462,173903,0.0630038516233228,51.4459515277167
"1881","SE93AQ",1,543328,172826,0.0606412760514637,51.4363077906196
"1882","SE93TU",1,544203,172831,0.0732229303128732,51.4361308723679
"1883","SE95DA",2,542855,174347,0.0544543606010863,51.4500945068046
"1884","SE95ED",1,542377,174456,0.0476239553675069,51.4511942402344
"1885","SE95LN",1,541294,174583,0.0320992467450462,51.4526064875368
"1886","SE95LU",1,541322,174277,0.0323798236284973,51.4498498271512
"1887","SE95SU",1,542306,174506,0.0466229559259844,51.4516613625505
"1888","SE96DR",1,541902,174954,0.0409922690572383,51.4557883142301
"1889","E152EE",1,537328,185058,-0.0208681350661185,51.5477108963372
"1890","E16HU",1,533459,182390,-0.0776424948081767,51.5246628205972
"1891","E16JJ",1,533559,182333,-0.0762235032940995,51.5241269799679
"1892","E16JN",1,533454,182573,-0.0776452614045696,51.5263085049725
"1893","E27NX",1,533505,182736,-0.0768488166234936,51.5277612371606
"1894","E28AA",1,533409,182809,-0.078204244990151,51.5284399087539
"1895","E28AN",1,533437,183462,-0.0775536465853864,51.5343013862461
"1896","E28FF",1,533567,183134,-0.0758047968725917,51.5313231542472
"1897","E28NA",2,534042,183139,-0.0689591636616057,51.531255623237
"1898","E28QY",1,534330,183386,-0.064715582162,51.53340685252
"1899","E50LF",1,535523,185674,-0.0466461091647339,51.5536823610697
"1900","E50LH",2,535639,185633,-0.0449898008358423,51.5532860776017
"1901","E50QJ",1,534984,185842,-0.0543512480721897,51.5553211427549
"1902","E50QR",1,535060,185665,-0.0533235976024656,51.5537124144254
"1903","E58BD",1,534840,186399,-0.0562136492546563,51.5603608603017
"1904","E58DG",1,534781,186147,-0.0571607619041323,51.5581104268059
"1905","E58HB",1,534934,185332,-0.0552674924036432,51.5507501321529
"1906","E58RL",1,534400,186644,-0.0624635282967093,51.562667405217
"1907","E59AE",1,533756,187753,-0.0713268465306684,51.5727861291301
"1908","E59AG",1,533798,187795,-0.0707051849574243,51.5731535949199
"1909","E59DD",1,534704,186756,-0.058037678344743,51.5636014001954
"1910","E59HG",1,535090,187240,-0.0522865005628431,51.5678584603699
"1911","E59JP",1,534788,186502,-0.0569238747668282,51.5612988559652
"1912","E59JZ",1,534627,186828,-0.0591203095981371,51.5642667760848
"1913","E59RB",1,535507,186521,-0.0465506330331192,51.5612974667978
"1914","E81EA",1,534870,184694,-0.0564343319708794,51.5450322164257
"1915","E81HE",2,534961,184626,-0.0551488911822816,51.5443994189771
"1916","E81HF",1,534900,184700,-0.0559996719158901,51.5450789699201
"1917","E81HN",1,534967,185152,-0.0548608320880592,51.5491247302923
"1918","E81HR",2,534972,185054,-0.0548263291243885,51.5482428874883
"1919","E81HY",4,534935,185079,-0.0553500329990686,51.5484763835059
"1920","E81JB",2,534940,184969,-0.0553201189739725,51.5474867061671
"1921","E81LA",1,534476,185065,-0.0619710346641189,51.5484600499251
"1922","E81LL",2,534786,185020,-0.0575201772177854,51.5479817747416
"1923","E82AH",1,534562,185175,-0.0606894645006232,51.5494280527353
