"","pcd","hotspots","easting","northing","latitude","longitude"
"1635","W55TL",1,517197,180541,-0.312549092512197,51.5116504464077
"1636","W55XA",1,517545,180349,-0.307600605066631,51.5098526247909
"1637","W71AG",1,515374,181705,-0.338426442391378,51.5224868891245
"1638","W72AX",1,516264,179037,-0.326482989862952,51.49832563187
"1639","W72DG",1,516322,178886,-0.325697550262567,51.4969565804471
"1640","W72ET",1,515513,179842,-0.337033707003381,51.5057145133771
"1641","W73BE",1,515408,180739,-0.338252608884068,51.5137978792138
"1642","W73DA",1,515216,181723,-0.340696899383084,51.5226808873983
"1643","W73PP",1,515889,180213,-0.331496814366858,51.5089720262325
"1644","W73SJ",1,515459,180131,-0.337716886261315,51.5083229726884
"1645","W73SL",1,515406,180160,-0.338470748759282,51.5085944306158
"1646","W73ST",1,515600,180202,-0.335662853394764,51.5089322984683
"1647","W73SU",1,515525,180165,-0.336755180125928,51.5086150777233
"1648","W73TD",2,515154,180154,-0.342102217579656,51.5085918620436
"1649","W73TR",1,515465,179993,-0.337675609512056,51.5070814502248
"1650","W73TX",1,515348,179990,-0.339361662251982,51.5070783566599
"1651","EN11BA",1,533718,195436,-0.0689474004257454,51.641836076724
"1652","EN11QT",1,533938,196106,-0.0655137163481411,51.6478044696378
"1653","EN11RG",1,534162,196318,-0.0621968660438921,51.649656167115
"1654","EN11RT",1,533187,196571,-0.0761848380114063,51.6521612607948
"1655","EN11SW",1,534363,195836,-0.0594783414226573,51.6452769245701
"1656","EN11TW",1,534520,196085,-0.0571149977363289,51.6474769539579
"1657","EN11TX",1,534727,196557,-0.0539433376223397,51.6516688519197
"1658","EN11UP",1,534703,196124,-0.0544566469661429,51.6477836399352
"1659","EN11UY",2,534145,196418,-0.062404116422617,51.6505588283985
"1660","EN11YQ",1,534226,196459,-0.061218305947834,51.6509079433242
"1661","EN11YX",1,532964,196562,-0.0794097608373845,51.6521331223004
"1662","EN11YY",1,533041,196562,-0.0782974037979442,51.6521149226747
"1663","EN12HB",1,532913,194870,-0.0807887140934181,51.6369405348938
"1664","EN12RY",1,533131,196079,-0.0771809277722037,51.6477533191699
"1665","EN13ED",1,532857,196597,-0.0809422211016728,51.6524729115748
"1666","EN13FD",1,534351,196554,-0.0593761384344115,51.6517317905598
"1667","EN13JS",1,532895,197376,-0.0800974371787662,51.6594641668932
"1668","EN13JY",1,532925,197484,-0.0796229495838835,51.6604275848563
"1669","EN13LD",1,533002,197697,-0.078429412536373,51.6623234362076
"1670","EN13PN",1,534328,197376,-0.0593928832466333,51.6591238260379
"1671","EN13RR",3,534395,196374,-0.0588096252468241,51.6501037916653
"1672","EN13RW",1,534578,196803,-0.0560011852502625,51.6539150741267
"1673","EN13WX",1,534382,197032,-0.0587447858561342,51.6560197262887
"1674","EN14LF",1,534207,197419,-0.0611246299022591,51.6595391056921
"1675","EN14SE",2,534993,199694,-0.0488899831053293,51.6797941680616
"1676","EN20BZ",1,532873,197836,-0.0802405936302882,51.6636029991944
"1677","EN20JG",1,532512,197807,-0.0854679907047758,51.6634275612255
"1678","EN20JW",1,532748,197853,-0.0820403758655627,51.663785278349
"1679","EN20RU",1,532207,197447,-0.0900112504616209,51.6602642937301
"1680","EN26AA",1,532710,196577,-0.0830734156719265,51.6523278756646
"1681","EN26AB",1,532704,196577,-0.0831600934502795,51.6523292906749
"1682","EN26AF",4,532652,196581,-0.0839097852624409,51.6523774962095
"1683","EN26BA",1,532629,196543,-0.0842564490459487,51.6520414421251
"1684","EN26BE",1,532695,196542,-0.0833033783919211,51.6520168962611
"1685","EN26BS",2,532868,196473,-0.0808303797143974,51.6513560277828
"1686","EN26DS",1,532879,196297,-0.0807382808223341,51.6497718621503
"1687","EN26LD",1,532845,196528,-0.0811417640041438,51.651855698044
"1688","EN26LE",1,532821,196526,-0.081489230058622,51.6518433909965
"1689","EN26LQ",1,532769,196522,-0.0822419461915062,51.6518197175886
"1690","EN26LU",1,532838,196586,-0.081220875873842,51.6523785491955
"1691","EN26LY",1,533125,196544,-0.0770907704653675,51.651933305609
"1692","EN26NN",1,532379,197328,-0.0875710705459282,51.6591544868778
"1693","EN26PH",1,532471,196632,-0.0865052705340551,51.6528784323799
"1694","EN26PZ",1,532420,196986,-0.0871081037123738,51.6560715553117
"1695","EN26QA",1,532403,197014,-0.0873431178777342,51.6563271699784
"1696","EN26SN",9,532685,196459,-0.0834793017906945,51.651273399995
"1697","EN26SZ",1,532845,196228,-0.0812556096189622,51.649159842216
"1698","EN26TR",1,532896,196346,-0.0804741066020569,51.6502081708376
"1699","EN27AS",1,532055,196682,-0.0924961671354093,51.6534255254817
"1700","EN27QS",1,530996,196793,-0.107753812579858,51.6546705421779
"1701","EN28AP",1,529509,199249,-0.128327669525882,51.6770853910248
"1702","EN28JF",1,531203,197735,-0.104410011876122,51.6630874023744
"1703","EN28PW",1,531643,197449,-0.0981596961809857,51.6604145306925
"1704","EN29DJ",1,531305,199982,-0.102092205677254,51.6832557338861
"1705","EN29HH",1,532694,198839,-0.0824465421780828,51.6726583800124
"1706","EN29HJ",1,533728,199754,-0.067152432306701,51.6806356801563
"1707","EN34AQ",1,535126,195646,-0.0485310530619993,51.643386920392
"1708","EN34DP",4,535193,196163,-0.0473637537539436,51.6480166019087
"1709","EN34DS",1,535252,196059,-0.0465516965307115,51.6470678812256
"1710","EN34EF",1,535240,195433,-0.0469667840478711,51.641445520473
"1711","EN34EU",1,535243,195755,-0.0467991099265648,51.6443382967569
"1712","EN34EZ",1,535215,195934,-0.0471344075150657,51.6459535202559
"1713","EN34HW",1,534839,196237,-0.0524486619212544,51.648766494753
"1714","EN34QA",1,535818,195650,-0.0385348831409386,51.6432563177615
"1715","EN34QB",2,536051,195553,-0.035207344143473,51.6423284118293
"1716","EN34TD",1,536167,195395,-0.0335934185139874,51.6408805837732
"1717","EN35AZ",1,535147,197158,-0.047644027603059,51.6569687260963
"1718","EN35BL",1,535147,197319,-0.0475818453057064,51.6584154715891
"1719","EN35JH",1,535197,197391,-0.0468316289299033,51.659050449441
"1720","EN35PP",1,535345,197912,-0.0444917476236161,51.6636965555921
"1721","EN35TD",1,535550,198661,-0.0412392852065992,51.6703776663807
"1722","EN35TT",1,535261,198808,-0.0453589617553166,51.6717681910061
"1723","EN35UQ",1,535567,198566,-0.0410304382896905,51.6695199038069
"1724","EN36HA",1,536506,198751,-0.0273884359889309,51.6709551431146
"1725","EN36UP",1,535615,198761,-0.0402611407002443,51.6712605884155
"1726","EN37NJ",2,536371,197458,-0.0298435562324584,51.6593691445865
"1727","EN37SH",1,536266,197007,-0.0315362330445215,51.6553419423093
"1728","EN37XY",1,536885,199422,-0.021648502262998,51.676892506541
"1729","EN40BX",1,528089,196301,-0.149932823105946,51.6509184448491
"1730","N111AN",1,529271,192471,-0.134270217419705,51.6162299327977
"1731","N111QJ",1,528913,191981,-0.13961811404326,51.6119085483461
"1732","N134JG",1,531112,192863,-0.107548694047671,51.6193272049376
"1733","N134LG",1,531276,193425,-0.104970788102568,51.6243393457298
"1734","N134PH",1,530997,192719,-0.109262624020236,51.6180599176561
"1735","N134PJ",1,530981,192723,-0.109492100342183,51.6180995831286
"1736","N134XS",1,530980,192620,-0.109545000774587,51.6171742179959
"1737","N134YB",1,531025,192731,-0.108853943381026,51.6181612432375
"1738","N134YD",1,530953,192679,-0.109912726969772,51.6177106909443
"1739","N134YE",1,530978,192664,-0.109557440426976,51.6175700838874
"1740","N135TT",1,531138,192821,-0.107189062535626,51.6189437259411
"1741","N135TU",3,531061,192706,-0.10834360179851,51.6179282104516
"1742","N135TW",3,531167,192881,-0.10674798091979,51.6194761569925
"1743","N144XA",1,529531,196106,-0.129173458109799,51.6488360265069
"1744","N145BH",1,529675,194278,-0.127770046002974,51.6323756499754
"1745","N145BP",2,529547,194305,-0.12960842859621,51.6326477458167
"1746","N145PA",1,529596,194341,-0.128887534166126,51.6329599836076
"1747","N145PB",1,529636,194330,-0.128313982634916,51.6328519253791
"1748","N145PH",2,529452,194401,-0.13094480658019,51.633532294236
"1749","N145PW",1,529430,194482,-0.131232583605021,51.6342652556422
"1750","N146AQ",1,529850,194424,-0.125188891003111,51.6336473443394
"1751","N146EN",2,529958,193494,-0.123974122235694,51.6252650397499
"1752","N146LH",1,530021,193393,-0.123101983084826,51.6243428697997
"1753","N147JZ",1,529509,193545,-0.130437981810779,51.6258267665494
"1754","N181QX",1,533429,192233,-0.0743406067343809,51.6131219113138
"1755","N182SS",2,534020,191874,-0.0659474117944689,51.6097556265657
"1756","N182TZ",1,534109,192580,-0.0643930279538619,51.6160786806716
"1757","N182UE",1,533923,192426,-0.0671366678134264,51.6147390522432
"1758","N182XA",3,534106,192186,-0.0645869536886631,51.6125388501649
"1759","N182XF",1,534052,192183,-0.0653675095465819,51.6125247402843
"1760","N182XQ",1,534110,192196,-0.0645253970469192,51.6126277597753
"1761","N183HA",3,535730,192140,-0.0411649999279848,51.6117366663016
"1762","N183HF",1,535225,191929,-0.0485350362133007,51.609962013763
"1763","N211BB",1,531349,194580,-0.103484003354217,51.6347015459433
"1764","N211RE",1,531694,195472,-0.0981665798329292,51.6426367352075
"1765","N212QP",1,532056,194671,-0.0932400621277377,51.6353539286452
"1766","N213LH",1,531306,193602,-0.104471367517839,51.6259229366142
"1767","N213NB",2,531557,194444,-0.100531367962368,51.6334308481105
"1768","N213ND",1,531563,194442,-0.100445476233751,51.6334114736557
"1769","N213NP",1,531391,194399,-0.102945356473033,51.6330652220106
"1770","N213RS",2,531802,194125,-0.0971134423363948,51.6305069258323
"1771","N213RX",1,531844,194208,-0.0964757599300405,51.6312429570348
"1772","N90AL",2,534422,193374,-0.0595706540281291,51.6231390728331
"1773","N90BU",1,534522,193411,-0.0581127765416751,51.623447686263
"1774","N90EH",1,534596,193553,-0.0569899314638067,51.6247060350239
"1775","N90EJ",1,534606,193593,-0.0568302004834033,51.6250630892143
"1776","N90ER",1,535403,193903,-0.0452039071083609,51.6276577292227
"1777","N90HW",1,534642,193656,-0.0562862578288426,51.6256206086686
"1778","N90NR",1,534275,193320,-0.0617135494328089,51.6226888824039
"1779","N90QU",1,534496,193383,-0.0584988771231489,51.6232022838711
"1780","N90TL",1,534488,193437,-0.0585936584445359,51.6236894438047
"1781","N90TT",1,534466,193425,-0.058915874578564,51.6235868627383
"1782","N90TZ",2,534516,193500,-0.0581652513947598,51.6242488825083
"1783","N97AA",1,534200,193500,-0.0627274056309777,51.6243242586997
"1784","N97EY",1,534896,194706,-0.0522149756102573,51.6349952011973
"1785","N98JD",1,534823,193993,-0.0535434419800072,51.6286056195131
"1786","N98LP",2,535329,193951,-0.0462537978914058,51.6281068449573
"1787","N99EF",1,534016,194249,-0.0650974947926438,51.631098683548
"1788","N99HL",1,533256,194007,-0.0761635069073244,51.6291043795638
"1789","N99JJ",1,533590,194572,-0.0711255623634604,51.6341024329951
"1790","N99JW",1,533220,194635,-0.0764445725078547,51.6347562240701
"1791","N99NJ",1,533693,193131,-0.0701878047964601,51.6211289275151
"1792","DA158EA",1,544977,173840,0.0847632327182005,51.444999979205
"1793","SE100AX",1,539032,179921,0.00166522086075054,51.5011332886309
"1794","SE100BB",1,539130,179991,0.00310377882291706,51.5017382136074
